id,cause_of_death,region_origin,affected_nationality,missing,dead,incident_region,date,source,reliability,lat,lon
89795,Presumed hyperthermia,Central America & Mexico,Honduras,,1,U.S./Mexico Border,20/07/2016,Pima County Office of the Medical Examiner,Verified,32.4995,-113.0767
89796,Unknown (skeletal remains),,,,1,U.S./Mexico Border,25/07/2016,Pima County Office of the Medical Examiner,Verified,31.77755,-111.8808
90177,Drowning,Sub-Saharan Africa,Mahgreb,,1,Mediterranean,04/02/2016,Asociación Pro Derechos Humanos De Andalucía (APDHA),Verified,35.99615289,-5.619305132
90178,Presumed drowning,Sub-Saharan Africa,,28,,North Africa,11/02/2016,Asociación Pro Derechos Humanos de Andalucía (APDHA),Verified,24.78886907,-17.15358351
90179,Drowning,Sub-Saharan Africa,,,1,Mediterranean,08/05/2016,Asociación Pro Derechos Humanos de Andalucía (APDHA),Verified,36.48796177,-4.272235204
90180,Presumed hyperthermia,Central America & Mexico,Mexico,,1,U.S./Mexico Border,03/07/2016,Pima County Office of the Medical Examiner,Verified,32.29616,-113.14816
90181,Presumed hyperthermia,Central America & Mexico,El Salvador,,1,U.S./Mexico Border,04/07/2016,Pima County Office of the Medical Examiner,Verified,31.903683,-112.146183
90182,Unknown (postmortem decomposition),,,,1,U.S./Mexico Border,08/07/2016,Pima County Office of the Medical Examiner,Verified,31.890533,-112.163068
90183,Presumed hyperthermia,Central America & Mexico,Honduras,,1,U.S./Mexico Border,11/07/2016,Pima County Office of the Medical Examiner,Verified,31.78046,-111.95446
90184,Presumed hyperthermia,Central America & Mexico,Guatemala,,1,U.S./Mexico Border,12/07/2016,Pima County Office of the Medical Examiner,Verified,31.69473,-111.98491
90185,Unknown (skeletal remains),Central America & Mexico,Mexico,,1,U.S./Mexico Border,14/07/2016,Pima County Office of the Medical Examiner,Verified,32.3405,-113.10417
90186,Hyperthermia,South America,Ecuador,,1,U.S./Mexico Border,20/07/2016,Pima County Office of the Medical Examiner,Verified,31.83173,-111.970117
90187,Hyperthermia,Central America & Mexico,Guatemala,,1,U.S./Mexico Border,22/07/2016,Pima County Office of the Medical Examiner,Verified,31.7947,-111.82171
90188,Multiple blunt force injuries,Central America,Mexico,,1,U.S./Mexico Border,25/07/2016,Pima County Office of the Medical Examiner,Verified,32.30393371,-109.7935547
90189,Presumed hyperthermia,Central America & Mexico,Guatemala,,1,U.S./Mexico Border,24/07/2016,Pima County Office of the Medical Examiner,Verified,31.7945,-111.91465
90190,,Caribbean,,,1,U.S./Mexico Border,30/07/2016,Pima County Office of the Medical Examiner,Verified,32.10145,-112.69731
90577,Presumed exposure,Central America & Mexico,Guatemala,,1,U.S./Mexico Border,31/07/2016,Brownsville Herald,Partially Verified,26.28465761,-98.63587834
90578,Drowning,,,,2,Central America incl. Mexico,02/08/2016,Radio La Primerisima,Partially Verified,11.23459165,-85.58065256
90977,Drowning,Caribbean,,,1,U.S./Mexico Border,27/07/2016,Zocalo Saltillo,Partially Verified,28.4972201,-100.333835
91377,Hit by vehicle,Caribbean,Haiti,,1,Caribbean,08/07/2016,Diario Libre,Partially Verified,19.55101844,-71.71303814
91777,Presumed Drowning,,Mixed,,21,Mediterranean,01/08/2016,Libyan Red Crescent Az Zawiyah via IOM Libya,Verified,32.8064104,12.87556418
91778,Injuries caused by boat motor,Central America,,,1,Central America incl. Mexico,01/12/2015,News Oaxaca,Partially Verified,16.19424438,-94.9777467
92177,Vehicle accident,Central America & Mexico,Mexico,,1,U.S./Mexico Border,30/01/2016,Webb County Office of the Medical Examiner,Partially Verified,27.51615094,-99.49792494
