id,cause_of_death,region_origin,affected_nationality,missing,dead,incident_region,date,source,reliability,lat,lon
1,Presumed drowning,Middle East,Iraq,1,1,Mediterranean,05/11/2015,IOM Greece,Verified,36.8915,27.2877
3,Fell from train,Central America & Mexico,Honduras,,1,Central America incl. Mexico,03/11/2015,La Jornada,Partially Verified,15.9564,-93.6631
4,Presumed drowning,Middle East,,,1,Mediterranean,03/11/2015,Hellenic Coast Guard,Verified,36.50438994,27.36325278
6,Drowning,MENA,,6,4,Mediterranean,01/11/2015,Reuters,Partially Verified,37.2856,27.0866
7,Vehicle accident,South East Asia,Cambodia,,4,Southeast Asia,01/11/2015,Phnom Penh Post,Partially Verified,13.3611,100.985
8,Drowning,MENA,,,11,Mediterranean,01/11/2015,Hellenic Coast Guard,Verified,37.75181406,26.96029054
9,Drowning,MENA,,,1,Mediterranean,01/11/2015,Hellenic Coast Guard,Verified,38.35754036,26.45215693
10,Drowning,MENA,,,1,Mediterranean,01/11/2015,Hellenic Coast Guard,Verified,39.27619474,26.38344341
11,Drowning,,,0,3,Mediterranean,28/10/2015,AP,Partially Verified,37.4578,26.9721
12,Died of unknown cause in hospital shortly after rescue,MENA,Syria,,1,Mediterranean,28/10/2015,IOM Greece,Verified,39.37081581,26.17647329
13,Drowning,MENA,Iran,,1,Mediterranean,26/10/2015,IOM Greece,Verified,39.28097838,26.38413005
14,Presumed drowning,South Asia,Afghanistan,7,3,Mediterranean,23/10/2015,IOM Greece,Verified,39.27300546,26.42326885
15,Presumed drowning,Middle East/ South Asia,,,1,Mediterranean,01/11/2015,Hellenic Coast Guard,Verified,39.27406857,26.38618999
16,Drowning,,Afghanistan,,4,Mediterranean,31/10/2015,Hurriyet Daily News,Partially Verified,39.27991538,26.38893657
17,Exposure. Died upon entry to refugee camp.,South Asia,Afghan,,1,Europe,31/10/2015,AP,Partially Verified,45.2604,19.1706
18,Drowning,,,,1,Mediterranean,30/10/2015,AP,Partially Verified,39.27406857,26.38824993
19,Drowning,Sub-Saharan Africa,Likely Comorian,,8,Sub-Saharan Africa,30/10/2015,LINFO,Partially Verified,-11.8028,43.8519
20,Drowning,Middle East/ South Asia,,,1,Mediterranean,30/10/2015,Hellenic Coast Guard,Verified,37.4578,26.9721
21,Drowning,,,32,7,Mediterranean,29/10/2015,Reuters Espa̱a,Verified,35.2446,-3.93175
22,Drowning,Middle East/ South Asia,,4,3,Mediterranean,29/10/2015,AP,Partially Verified,36.435,28.2175
23,Drowning,Middle East/ South Asia,,2,,Mediterranean,29/10/2015,AP,Partially Verified,37.7548,26.9778
24,,,,,8,Mediterranean,20/10/2015,IOM Rome,Verified,40.33471832,17.16460254
25,Drowning,,,,1,Mediterranean,02/10/2015,IOM Greece,Verified,36.9523,26.9808
28,Drowning,Middle East/ South Asia,,,4,Mediterranean,29/10/2015,Hurriyet Daily News,Partially Verified,39.47014208,26.59265342
29,Drowning,Middle East/ South Asia,,,2,Mediterranean,28/10/2015,AP,Verified,39.26981603,26.39030986
30,Drowning,Middle East/ South Asia,,1,3,Mediterranean,28/10/2015,Associated Press and Hellenic Coast Guard,Verified,37.7548,26.9778
31,Drowning,,Afghanistan,,3,Mediterranean,28/10/2015,Reuters and Al Jazeera,Partially Verified,39.27460011,26.3923698
32,Presumed drowning,Middle East/ South Asia,,,19,Mediterranean,28/10/2015,AP,Partially Verified,36.9523,26.9808
33,Presumed drowning,Middle East/ South Asia,,,1,Mediterranean,01/10/2015,Hellenic Coast Guard,Verified,36.9523,26.9808
34,Drowning,,Afghanistan,,1,Mediterranean,28/10/2015,Hellenic Coast Guard,Verified,39.2772578,26.40953594
35,Died of unknown cause in hospital shortly after rescue,Middle East/ South Asia,,,1,Mediterranean,28/10/2015,Hellenic Coast Guard,Verified,37.7548,26.9778
36,Drowning,,,13,43,Mediterranean,28/10/2015,IOM Greece and Hellenic Coast Guard,Verified,39.4277,26.3885
37,Drowning,,,1,1,Mediterranean,27/10/2015,Haberleber,Partially Verified,38.3243,26.28878044
38,Drowning,MENA,Syrian,,1,Mediterranean,26/10/2015,IOM Greece and AP,Verified,38.37315331,26.46039668
39,Suffocation,,,,52,Mediterranean,26/08/2015,IOM Rome,Partially Verified,34.3434,15.1172
42,,,Nigerian,,1,Mediterranean,23/08/2015,IOM Tunisia,Verified,34.8657,12.6049
43,Drowning,Sub-Saharan Africa,Guinean,,1,Mediterranean,26/10/2015,AFP,Partially Verified,35.88383695,-5.31757345
45,Drowning,,,,43,Mediterranean,25/10/2015,Disaster Alert Network,Verified,32.5051,14.5102
46,Presumed drowning,Middle East/ South Asia,,1,4,Mediterranean,21/10/2015,WWNT Radio,Partially Verified,39.27406857,26.38001018
47,Drowning,Middle East/ South Asia,,1,2,Mediterranean,22/10/2015,Hurriyet Daily News,Partially Verified,39.3192,26.60176279
48,Drowning,,,,6,Mediterranean,22/10/2015,Huffington Post,Partially Verified,32.75,13.7167
49,Drowning,MENA,,11,12,Mediterranean,22/10/2015,Hurriyet Daily News,Verified,39.41074434,26.58690625
50,Drowning,Sub-Saharan Africa,Senegal,1,1,Mediterranean,21/10/2015,Desalambre,Partially Verified,35.8894,-5.32135
53,,South East Asia,,,24,Southeast Asia,23/08/2015,"BBC, UNHCR",Verified,6.44491,100.205
56,Drowning,MENA,Syrian,1,4,Mediterranean,19/10/2015,IOM Greece,Verified,36.1495,29.5934
57,,Middle East/ South Asia,,,1,Mediterranean,18/10/2015,Hellenic Coast Guard via IOM Greece,Verified,37.2954,27.1127
59,Drowning,Middle East,Iraqi,3,4,Mediterranean,17/10/2015,Hellenic Coast Guard via IOM Greece,Verified,36.9523,26.9808
61,Drowning,MENA,"Afghanistan, Syria",,13,Mediterranean,16/10/2015,Turkish Coast Guard via IOM Turkey,Partially Verified,39.4162,26.4074
62,Presumed drowning,Middle East/ South Asia,,1,7,Mediterranean,15/10/2015,IOM Greece,Verified,39.2889504,26.38824993
63,Hit by vehicle,MENA,Syrian,,1,Europe,15/10/2015,AFP,Partially Verified,50.9342,1.78665
64,Hit by train,,,,1,Europe,15/10/2015,Reuters,Partially Verified,50.9364,1.79995
65,Shot,MENA,Afghanistan,,1,Europe,15/10/2015,BBC,Partially Verified,42.3452,27.1813
66,Drowning,,Syria,,3,Mediterranean,14/10/2015,Reuters,Partially Verified,39.2772578,26.38550335
67,Presumed drowning,,,,1,Mediterranean,05/10/2015,IOM Greece,Verified,36.8893,27.1828
68,Shot,Central America & Mexico,,,1,Central America incl. Mexico,05/10/2015,Agenda Tlaxcala,Partially Verified,19.408,-98.052
69,Presumed drowning,Middle East,Iraq,,2,Mediterranean,03/10/2015,IOM Greece,Verified,36.8915,27.2877
70,Drowning,Middle East,Lebanese,2,7,Mediterranean,14/10/2015,AP,Partially Verified,37.77941392,26.35340986
71,Vehicle accident,Horn of Africa,Ethiopia,,8,Horn of Africa,12/10/2015,Horseed Media,Partially Verified,9.5116,49.0868
72,Drowning,MENA,"Syrian, Egyptian, other African",,11,Mediterranean,10/10/2015,IOM and Daily Star,Verified,31.5548,31.0911
73,Drowning,MENA,Syria,,1,Mediterranean,09/10/2015,IOM Athens and Reuters,Verified,39.2841673,26.38550335
74,Drowning,Sub-Saharan Africa,"Cameroon, Guinea",,2,Mediterranean,09/10/2015,StateWatch.org,Verified,35.9402,-5.4451
75,Vehicle accident,Caribbean,Haitian,,3,Caribbean,08/10/2015,Yahoo! News,Partially Verified,18.6046,-70.1862
76,Vehicle accident,,,,1,Europe,05/10/2015,Independent.mk,Unverified,42.3092,21.6499
77,Presumed drowning,,,,2,Mediterranean,04/10/2015,"Reuters, SBS",Verified,36.8915,27.2877
78,Drowning,,,,95,Mediterranean,01/10/2015,Times of Israel,Partially Verified,32.7873,12.7826
79,Hit by train,Horn of Africa,Eritrea,,1,Europe,30/09/2015,CNN,Partially Verified,50.9171,1.79277
82,drowning,South Asia,Afghan,,2,Mediterranean,30/09/2015,IOM Greece,Verified,39.3346,26.4755
83,,South America,Ecuadorian,,3,Central America incl. Mexico,30/09/2015,El Universo,Partially Verified,19.1738,-96.1342
85,Hi by truck,Middle East/ South Asia,Iraqi,,1,Europe,29/09/2015,BBC,Partially Verified,50.9513,1.85869
86,Drowning,MENA,Syria,5,1,Mediterranean,29/09/2015,Hurriyet Daily News,Partially verified,40.6765414,25.94885313
87,Crushed to death,Middle East/ South Asia,Iraqi,,1,Europe,29/09/2015,BBC,Partially Verified,50.9513,1.85869
89,Drowning,MENA,"Mostly from Syria, possibly some from Iraq",,17,Mediterranean,27/09/2015,Hurriyet Daily News,Partially Verified,37.01356685,27.1819604
91,Presumed drowning,Middle East/ South Asia,,,1,Mediterranean,24/09/2015,Hellenic Coast Guard via IOM Greece,Verified,37.4667,26.9667
92,Hit by train,Horn of Africa,Likely Eritrea,,1,Europe,24/09/2015,BBC,Partially Verified,50.9232,1.78285
94,Presumed drowning,Middle East/ South Asia,,,1,Mediterranean,23/09/2015,IOM Greece,Verified,39.3671,26.1751
95,Presumed drowning,Middle East/ South Asia,,,1,Mediterranean,22/09/2015,IOM Greece/AFP,Partially Verified,39.3824,26.4864
97,Drowning,Middle East,Syrian Kurds,24,2,Mediterranean,20/09/2015,IOM Greece,Verified,39.4196,26.4507
98,Drowning,Middle East/ South Asia,,2,,Mediterranean,20/09/2015,Coast Guard Command,Verified,39.2357,26.665
100,Drowning. Boat collided with ferry,Middle East/ South Asia,,13,13,Mediterranean,20/09/2015,IOM/Coast Guard Command/Indian Express,Partially Verified,39.44556183,26.04287441
101,Fell from train,Central America & Mexico,,,1,Central America incl. Mexico,20/09/2015,Red-accion,Partially Verified,19.7098,-98.9715
102,Drowning,Middle East,Syria,,13,Mediterranean,19/09/2015,IOM Greece,Verified,39.3877,26.4315
103,Drowning,MENA,Syrian,,1,Mediterranean,18/09/2015,Anadolu Agency,Partially Verified,38.32860933,26.29358696
104,Electrocution,Middle East/ South Asia,Syria,,1,Europe,18/09/2015,BBC,Partially Verified,50.9515,1.8457
105,,Sub-Saharan Africa,Nigerian,,1,Mediterranean,17/09/2015,Migrant Offshore Aid Station (MOAS),Verified,33.7243,14.436
106,Drowning,Middle East,"Reported as unspecified nationals of Syria, Afghanistan, Iraq, Iran",,22,Mediterranean,15/09/2015,RTE News and Turkish Coast Guard,Verified,36.7191,27.3388
107,Drowning,MENA,Syrian,,2,Mediterranean,14/09/2015,Hurriyet Daily News,Partially Verified,38.00701904,27.10185693
108,Drowning,MENA,Syria,,1,Mediterranean,05/09/2015,IOM Greece,Verified,37.5005,27.0791
109,Hit by vehicle,Horn of Africa,Eritrea,,1,Europe,24/07/2015,The Express,Partially Verified,50.1487,1.88965
111,Presumed drowning,,,,10,Mediterranean,02/05/2015,BBC/CBC,Partially Verified,35.4607,14.4141
112,,South East Asia,Rohingya,,36,Southeast Asia,01/05/2015,Arakan Project,Verified,7.18977,100.595
113,"Unknown, torture involved",South East Asia,Myanmar,,106,Southeast Asia,25/05/2015,BBC,Partially Verified,6.44491,100.5785352
114,Train accident,MENA,Afghanistan,,1,Europe,24/04/2015,Radio Free Europe,Partially Verified,41.5579,21.8188
119,Drowning,Central America & Mexico,,,1,U.S./Mexico Border,21/04/2015,Televisa,Partially Verified,27.49541266,-99.52264916
120,Drowning,,"Eritrea (2), Syria (1)",,3,Mediterranean,20/04/2015,Reuters,Partially Verified,36.35278241,27.93825898
121,"Drowning, Asphyxiation",,"Syria, Somalia, Gambia, Ivory Coast, Mali, Tunisia, Sierra Leone, Bangladesh, Algeria, Egypt, Niger, Zambia, Ghana",,750,Mediterranean,18/04/2015,IOM Italy,Verified,35.03,14.6777
122,Burns from cooking gas explosion in connection house in Libya,Sub-Saharan Africa,Eritrea or Somalia,,1,Mediterranean,17/04/2015,UNHCR,Verified,35.1738,17.2266
123,Drowning,Sub-Saharan Africa,"Survivors from Nigeria, Ghana, Niger",,41,Mediterranean,16/04/2015,BBC and CBC,Partially Verified,35.7465,14.4141
124,Drowning after being thrown overboard by other passengers,Sub-Saharan Africa,"Ghana, Nigeria",12,,Mediterranean,16/04/2015,BBC and CBC,Partially Verified,34.8859,14.4141
125,Drowning,,,391,9,Mediterranean,13/04/2015,Guardian,Partially Verified,36.1734,17.57260684
127,Drowning,East Asia,China,15,,East Asia,27/02/2015,Jakarta Post,Partially Verified,22.2,113.667
129,Drowning,Caribbean,Costa rica,3,,Caribbean,11/04/2015,The Tico Times,Partially Verified,24.3471,-78.6237
130,Drowning,,"Survivors from Syria, Iraq, and Somalia",,1,Mediterranean,10/04/2015,Reuters,Verified,35.4607,13.1396
131,Drowning,Horn of Africa,Somalia (1) Eritrea (1),,2,Mediterranean,10/04/2015,Global Post,Partially Verified,32.2144,30.8706
132,Drowning,Caribbean,Haiti,19,21,Caribbean,09/04/2015,IN. com,Partially Verified,18.9251,-72.7247
133,Drowning,MENA,"Syria, Iraq",4,7,Mediterranean,06/04/2015,SALON,Partially Verified,36.7171,27.7259
135,Drowning,Central America,Mexican,,1,U.S./Mexico Border,13/04/2015,Televisa,Partially Verified,29.1761,-103.692
136,Drowning,Caribbean,Cuba or Dominican Republic,,1,Caribbean,03/04/2015,Caribbean News Now,Partially Verified,18.1354,-67.7856
141,Drowning,Sub-Saharan Africa,"1 Nigerian, others unknown. Survivors all from Sub-Saharan Africa",,3,Mediterranean,19/03/2015,IOM Tunisa,Verified,33.7123,11.4474
143,Drowning,MENA,"Syria, Iraq",3,5,Mediterranean,17/03/2015,IOM Turkey,Verified,37.02007328,27.40131626
144,Train accident,Central America & Mexico,Honduras,,6,Central America incl. Mexico,17/03/2015,South China Morning Post,Partially Verified,18.0623,-93.5596
145,Drowning,,,8,4,North Africa,11/03/2015,Departamento 19,Partially Verified,27.9202,-15.5474
146,Hypothermia,MENA,Ethnic Yazidis (Iraq),,2,Middle East ,10/03/2015,BGN news,Partially Verified,41.7713,26.9385
147,Drowning,Horn of Africa,,,42,Horn of Africa,09/03/2015,The Washington Post,Partially Verified,13.5819,49.4824
148,Drowning,,,,4,North Africa,08/03/2015,ANSA Med,Verified,29.5145,-12.7687
150,Drowning,,"Eritrea, Sudan",40,10,Mediterranean,03/03/2015,IOM Rome,Verified,36.0313,13.3594
151,Drowning,Central America & Mexico,,,1,Central America incl. Mexico,09/03/2015,SinEmbargo,Partially Verified,17.4987,-91.9804
156,"Unclear, possibly related to earlier beating by truck driver",Horn of Africa,Ethiopian,,1,Europe,14/02/2015,Calais Migrant Solidarity,Verified,50.9513,1.85869
157,Drowning,Sub-Saharan Africa,"Senegal, Ivory Coast, Gambia, Guinea, Niger, Mali and Mauritania",103,,Mediterranean,09/02/2015,IOM Rome,Verified,34.2935,12.6672
158,Drowning,Sub-Saharan Africa,"Senegal, Ivory Coast, Gambia, Guinea, Niger, Mali and Mauritania",100,,Mediterranean,09/02/2015,IOM Rome,Verified,34.3616,12.9858
159,Drowning,Sub-Saharan Africa,"Senegal, Ivory Coast, Gambia, Guinea, Niger, Mali and Mauritania",104,,Mediterranean,09/02/2015,IOM Rome,Verified,34.3797,12.8101
160,Hypothermia,Sub-Saharan Africa,"Ivory Coast (15), Mali (7), Senegal (5), Guinea (1), Mauritania (1)",,29,Mediterranean,08/02/2015,IOM Rome,Verified,34.579,12.4365
161,Drowning,MENA,Iran and Iraq,2,7,Mediterranean,07/02/2015,MENAFN - Khaleej Times,Partially Verified,36.59079898,28.24872051
164,Drowning,Horn of Africa,,,3,Horn of Africa,02/02/2015,IOM Yemen,Verified,12.5331,47.9224
165,Drowning,Horn of Africa,Ethiopia and Somalia,33,3,Horn of Africa,02/02/2015,IOM Yemen,Verified,12.8994,43.3632
167,Drowning,Sub-Saharan Africa,Guinea Conakry,2,8,Mediterranean,30/01/2015,AP,Partially Verified,35.4043,-2.86119
168,Drowning,South East Asia,Bangladesh,49,8,Southeast Asia,29/01/2015,Xinhaunet,Partially Verified,16.4181,89.605
169,,Caribbean,Haiti,,1,Caribbean,28/01/2015,Haiti Press Network,Partially Verified,19.7648,-71.4299
173,,Sub-Saharan Africa,"Survivors from Burkina Faso, Malia, Guinea, and the Ivory Coast",20,1,Mediterranean,22/01/2015,Times of Malta,Partially Verified,35.913,14.1659
174,Drowning,,Reported as unspecified nationals of Africa,36,9,Mediterranean,16/01/2015,Almanar News,Partially Verified,32.6102,14.5323
175,Severe exhaustion and dehydration,South East Asia,Ethnic Rohingya,,2,Southeast Asia,14/01/2015,Mizzima,Partially Verified,8.04445,100.284
176,Beating/shot by traffickers,South East Asia,Ethnic Rohingya,,1,Southeast Asia,11/01/2015,Reuters,Partially Verified,8.04445,100.284
180,Drowning,Sub-Saharan Africa,Zimbabwe,,2,Sub-Saharan Africa,07/01/2015,TNA Media,Partially Verified,-22.169,29.81
183,Drowning,Caribbean,Cuba,,1,Caribbean,03/01/2015,Cayman Compass,Partially Verified,19.2347,-81.3881
184,,Horn of Africa,Reported as unspecified nationals of Horn of Africa,,1,Horn of Africa,01/01/2015,IOM Yemen,Verified,13.5697,44.0146
185,,Horn of Africa,Reported as unspecified nationals of the Horn of Africa,,1,Horn of Africa,01/01/2015,IOM Yemen,Verified,13.149,44.8505
188,Shot,Horn of Africa,Ethiopian,,1,Horn of Africa,01/01/2015,Regional Mixed Migration Secretariat,Verified,10.9196,41.9266
189,Starvation,Horn of Africa,Somalia,,2,Horn of Africa,01/01/2015,Regional Mixed Migration Secretariat,Verified,11.9647,43.2884
193,Drowning,MENA,Syrian Arab Republic,9,,Mediterranean,29/12/2014,IOM Turkey via TCGC,Verified,36.99930035,27.36417998
194,Drowning,MENA,Syrian Arab Republic,,2,Mediterranean,28/12/2014,Saudi Press Agency,Partially Verified,39.9771,19.0503
195,,,,30,,Mediterranean,24/12/2014,IOM Rome,Verified,34.3071,16.6113
196,Drowning,,,,5,Mediterranean,23/12/2014,ANSA English,Partially Verified,34.8138,13.7109
197,Drowning,,,,9,Mediterranean,19/12/2014,Reuters,Partially Verified,35.8468,-5.80353
198,Drowning,Caribbean,Cuba,,1,Caribbean,16/12/2014,Miami Herald,Partially Verified,23.6445,-80.2881
199,Vehicle accident,MENA,Sudan,,1,Europe,12/12/2014,Calais Migrant Solidarity,Verified,51.1208,1.0437
200,Drowning,Horn of Africa,Ethiopia,3,21,Horn of Africa,07/12/2014,IOM Yemen,Verified,13.1383,43.1598
201,Presumed drowning,Sub-Saharan Africa,Reported as unspecified nationals of Sub-Saharan Africa,23,,Mediterranean,05/12/2014,Press TV,Partially Verified,36.3992,-2.38403
202,Hypothermia,Sub-Saharan Africa,Reported as unspecified nationals of Sub-Saharan Africa,,17,Mediterranean,05/12/2014,IOM Rome,Verified,34.1618,13.0737
203,Unknown (found on motorway),,,,1,Europe,01/12/2014,Calais Migrant Solidarity,Verified,50.8476,1.75781
204,Burned to death hiding in truck,,,,2,Europe,19/11/2014,Daily Mail,Verified,50.9966,2.2574
205,Drowning,Sub-Saharan Africa,Reported as unspecified nationals of Sub-Saharan Africa,6,,Mediterranean,25/11/2014,IOM Rome,Verified,35.9246,13.1616
206,Drowning,Sub-Saharan Africa,Reported as unspecified nationals of Sub-Saharan Africa,12,,Mediterranean,17/11/2014,IOM Rome,Verified,36.3151,12.9199
207,Presumed drowning,Horn of Africa,Ethiopia,30,,Horn of Africa,11/11/2014,IOM Djibouti,Verified,12.093,44.0305
208,Drowning,South Asia,Afghanistan,,4,Mediterranean,07/11/2014,Daily News,Verified,39.279,26.532
209,Drowning,South Asia,Afghanistan,11,27,Middle East ,05/11/2014,Daily Sabah,Verified,41.2582,29.1289
210,,Central America,,,1,U.S./Mexico Border,30/10/2014,PCOME,Verified,31.3642,-111.11
211,Presumed drowning,,Reported as unspecified nationals of Africa,20,,Mediterranean,29/10/2014,Mail Online,Verified,34.3706,14.1724
214,Drowning,Caribbean,Cuba,2,,Caribbean,27/10/2014,New York Times,Verified,24.5671,-80.321
215,Hit by truck,Middle East/ South Asia,Syria,,1,Europe,24/10/2014,Liberation.fr,Partially Verified,50.9513,1.85869
218,Hit by vehicle,Horn of Africa,Ethiopia,,1,Europe,20/10/2014,Kentonline,Verified,50.95131433,1.85869
219,Drowning,Horn of Africa,,,1,Horn of Africa,17/10/2014,Society for Humanitarian Solidarity,Verified,12.5331,47.9224
220,Drowning,Horn of Africa,,,1,Horn of Africa,17/10/2014,Society for Humanitarian Solidarity,Verified,12.5331,47.9224
221,Drowning due to forced disembarcation,Horn of Africa,,,1,Horn of Africa,17/10/2014,Society for Humanitarian Solidarity,Verified,12.5331,47.9224
222,Drowning,Horn of Africa,,,1,Horn of Africa,17/10/2014,Society for Humanitarian Solidarity,Verified,12.5331,47.9224
223,,Horn of Africa,,,1,Horn of Africa,17/10/2014,Society for Humanitarian Solidarity,Verified,12.5331,47.9224
224,Drowning,Horn of Africa,,,1,Horn of Africa,17/10/2014,Society for Humanitarian Solidarity,Verified,12.5331,47.9224
225,Drowning,Horn of Africa,,,1,Horn of Africa,17/10/2014,Society for Humanitarian Solidarity,Verified,12.5331,47.9224
226,Drowning,Horn of Africa,,,1,Horn of Africa,16/10/2014,Society for Humanitarian Solidarity,Verified,12.6082,48.8232
229,Drowning,,"Unknown. Survivors from Bangladesh, Burma, or are ethnic Rohingya",4,,Southeast Asia,14/10/2014,Phuketwan,Partially Verified,9.00988,98.2892
230,,Central America,,,1,U.S./Mexico Border,12/10/2014,PCOME,Verified,31.7146,-111.438
231,"Hyperthermia, starvation",,,,3,Mediterranean,10/10/2014,spyghana,Partially Verified,35.898,15.4907
233,Presumed drowning,Caribbean,,2,,Caribbean,05/10/2014,US Coast Guard,Verified,25.7529,-79.8528
234,Drowning,Horn of Africa,,,64,Horn of Africa,02/10/2014,UNHCR,Verified,12.7047,49.4824
235,Drowning,Sub-Saharan Africa,Reported as unspecified nationals of Sub-Saharan Africa,85,10,Mediterranean,02/10/2014,AFP,Verified,33.5963,14.6338
236,Drowning,Sub-Saharan Africa,Reported as unspecified nationals of Sub-Saharan Africa,6,2,Mediterranean,01/10/2014,AFP,Verified,35.9858,-5.39635
237,,Central America,,,1,U.S./Mexico Border,01/10/2014,PCOME,Verified,32.1376,-112.665
238,,Central America,,,1,U.S./Mexico Border,26/09/2014,PCOME,Verified,31.7673,-111.973
239,,Central America,,,1,U.S./Mexico Border,25/09/2014,PCOME,Verified,32.1498,-112.039
240,,Central America,,,1,U.S./Mexico Border,25/09/2014,PCOME,Verified,32.1236,-113.197
241,,Central America,,,1,U.S./Mexico Border,23/09/2014,PCOME,Verified,31.7497,-111.679
242,Drowning,,,33,10,Mediterranean,21/09/2014,UNHCR News Today,Verified,33.6053,16.9684
243,Drowning,MENA,"15 dead from Palestine. Missing are from Palestine, Syria, and Egypt",73,15,Mediterranean,14/09/2014,Palestinian News Network,Partially Verified,31.5253,29.6864
244,Drowning,,,94,70,Mediterranean,14/09/2014,"IOM, Italian Coast Guard, Al Wasat",Partially Verified,33.5048,13.8702
245,Drowning,,,16,2,Mediterranean,12/09/2014,Il Fatto Cronaca,Verified,34.9853,16.106
246,Drowning,MENA,"Syrian Arab Republic, Egypt, Sudan",497,3,Mediterranean,12/09/2014,"Still under investigation, but reports passed on via IOM Italy. Also the Guardian",Verified,33.9069,14.4141
247,,,,,1,U.S./Mexico Border,12/09/2014,PCOME,Verified,31.7668,-112.049
248,Hyperthermia,Central America,,,1,U.S./Mexico Border,11/09/2014,PCOME,Verified,32.5531,-112.433
249,,Central America,,,1,U.S./Mexico Border,10/09/2014,PCOME,Verified,32.3769,-113.164
251,,,,,1,U.S./Mexico Border,07/09/2014,PCOME,Verified,32.0038,-113.029
252,,Central America,,,1,U.S./Mexico Border,06/09/2014,PCOME,Verified,32.2291,-110.959
253,,Central America,Mexico,,1,U.S./Mexico Border,03/09/2014,PCOME,Verified,31.9292,-112.068
254,Presumed drowning,,,100,,Mediterranean,31/08/2014,Press Association,Partially Verified,32.8879,13.7096
255,Tortured to death,South Asia,Bangladesh,,1,Southeast Asia,31/08/2014,Daily Star,Verified,22.6699,88.9467
256,Presumed drowning,East Asia,China,9,,Southeast Asia,09/09/2014,China Central Television (eng); China News Service (eng) (ECNS),Verified,22.2344,113.643
257,Drowning,MENA,Syrian Arab Republic,,42,Mediterranean,29/08/2014,AFP,Verified,33.5111,11.8652
258,Presumed drowning,Caribbean,"Dominican Republic, Haiti",23,,Caribbean,28/08/2014,Dominican Today,Verified,18.3459,-67.8186
259,"Dehydration, Presumed drowning",Caribbean,Cuba,6,11,Caribbean,28/08/2014,Yahoo! News,Verified,23.6244,-86.2866
260,Drowning,Caribbean,Haiti,,1,Caribbean,25/08/2014,Miami Herald,Verified,26.2937,-80.0615
261,Unknown (skeletal remains),Central America,,,1,U.S./Mexico Border,25/08/2014,PCOME,Verified,31.7552,-111.833
262,Drowning,,,,24,Mediterranean,24/08/2014,IOM Rome,Verified,34.5671,14.0625
263,Unspecified location between North Africa and Italy. Body brought to Calabria.,,,,1,Mediterranean,24/08/2014,IOM Rome,Verified,34.3134,16.9189
264,Drowning,Caribbean,Cuba,5,4,Caribbean,24/08/2014,Miami Herald,Verified,25.8709,-79.6756
265,Drowning,Sub-Saharan Africa,Reported as unspecified nationals of Sub-Saharan Africa,8,18,Mediterranean,23/08/2014,IOM Rome and Yahoo! News,Verified,35.2823,15.8752
266,Unknown (skeletal remains),Central America,,,1,U.S./Mexico Border,03/08/2014,PCOME,Verified,32.1119,-112.271
267,Drowning,Sub-Saharan Africa,Sub-Saharan Africa,81,170,Mediterranean,22/08/2014,"Aljazeera, Telegraph, IOM, UNHCR",Verified,32.9212,13.7659
268,Hyperthermia,Central America,,,1,U.S./Mexico Border,21/08/2014,PCOME,Verified,32.1816,-112.424
269,Unknown (skeletal remains),Central America,,,1,U.S./Mexico Border,18/08/2014,PCOME,Verified,32.1991,-112.155
270,"Homicide, likely by asphyxiation",South Asia,Afghanistan,,1,Europe,16/08/2014,News Letter - The Pride of Northern Ireland,Verified,51.4616,0.345211
271,Unknown (skeletal remains),Central America,,,1,U.S./Mexico Border,05/08/2014,PCOME,Verified,31.7938,-112.231
272,Unknown (skeletal remains),Central America,,,1,U.S./Mexico Border,05/08/2014,PCOME,Verified,31.7155,-112.144
273,Unknown (skeletal remains),Central America,Unnknown,,1,U.S./Mexico Border,05/08/2014,PCOME,Verified,32.0302,-111.747
274,Unknown (skeletal remains),Central America,,,1,U.S./Mexico Border,04/08/2014,PCOME,Verified,31.8323,-112.508
275,Drowning,MENA,Syrian Arab Republic,170,2,Mediterranean,03/08/2014,IOM Italy,Verified,33.49917908,15.49076328
276,Hit by train,Central America,,,1,U.S./Mexico Border,01/08/2014,PCOME,Verified,31.8276,-111.999
277,Unknown (skeletal remains),Central America,,,1,U.S./Mexico Border,31/07/2014,PCOME,Verified,31.8206,-111.686
278,Electrocution,Central America,Mexico,,1,U.S./Mexico Border,30/07/2014,PCOME,Verified,32.2862,-112.15
279,Unknown (skeletal remains),Central America,,,1,U.S./Mexico Border,30/07/2014,PCOME,Verified,31.8778,-111.853
280,Unknown (skeletal remains),Central America,,,1,U.S./Mexico Border,28/07/2014,PCOME,Verified,31.6232,-111.813
281,Drowning,Sub-Saharan Africa,Survivors from Sub-Saharan Africa,108,20,Mediterranean,28/07/2014,ANSA Med,Verified,34.4666,13.5791
282,Unknown (skeletal remains),Central America,,,1,U.S./Mexico Border,27/07/2014,PCOME,Verified,31.7914,-112.22
283,Hyperthermia,Central America,,,1,U.S./Mexico Border,26/07/2014,PCOME,Verified,31.7903,-112.367
284,Unknown (skeletal remains),Central America,,,1,U.S./Mexico Border,24/07/2014,PCOME,Verified,31.8591,-112.365
285,Hit by truck,Horn of Africa,Eritrea,,1,Europe,24/07/2014,The Independent,Partially Verified,50.9584,0.175781
286,Drowning,,,14,5,Mediterranean,21/07/2014,Malta Today,Verified,36.3557,14.0845
