city,state,lat,lon
Agra,OK,35.883914,-96.86735
Agua Dulce,TX,27.782267,-97.90134
Aguada,PR,18.363285,-67.18024
Aguadilla,PR,18.470922666666667,-67.13756533333333
Aguanga,CA,33.485978,-116.82004
Aguas Buenas,PR,18.2516,-66.11646350000001
Aguila,AZ,33.945183,-113.19837
Aguilar,CO,37.400041,-104.66016
Aguirre,PR,17.970112,-66.22291
Ah Gwah Ching,MN,46.862332,-94.641872
Ahmeek,MI,47.297841,-88.39491
Ahoskie,NC,36.293352,-76.98612
Ahsahka,ID,46.505902,-116.3187
Ahwahnee,CA,37.388698,-119.72439
Aibonito,PR,18.135711,-66.269344
Aiea,HI,21.389167,-157.93091
Aiken,SC,33.5842875,-81.63820866666667
Aiken,TX,34.071514,-101.30313
Ailey,GA,32.196136,-82.50985
Aimwell,LA,31.769334,-91.97998
Ainsworth,IA,41.320371,-91.54755
Ainsworth,NE,42.530382,-99.88206
Airville,PA,39.80954,-76.40849
Airway Heights,WA,47.642922,-117.59149
Aitkin,MN,46.507241,-93.66458
Ajo,AZ,32.331853,-112.78694
Akaska,SD,45.327593,-100.12424
Akeley,MN,46.977161,-94.70512
Akers,LA,30.612371,-90.405312
Akiachak,AK,60.88981,-161.42393
Akiak,AK,60.911865,-161.22577
Akin,IL,37.994296,-88.941665
Akron,AL,32.871514,-87.73326
Akron,CO,40.124199,-103.18362
Akron,IA,42.819093,-96.48967
Akron,IN,41.040643,-86.03829
Akron,MI,43.587817,-83.53468
Akron,NY,43.024559000000004,-78.50414
Akron,OH,41.08549603125,-81.52886331250001
Akron,PA,40.156472,-76.204
Akutan,AK,54.098693,-165.88176
Alabama,NY,42.998052,-78.184813
Alabaster,AL,33.232422,-86.80871
Alachua,FL,29.7963115,-82.49111500000001
Aladdin,WY,44.776684,-104.22425
Alakanuk,AK,62.683391,-164.65455
Alamance,NC,36.031836,-79.485643
Alameda,CA,37.7519535,-122.24944500000001
Alamo,CA,37.856683,-122.02488
Alamo,GA,32.146031,-82.792
Alamo,IN,39.983709,-87.05507
Alamo,ND,48.586475,-103.46708
Alamo,NV,37.381946,-115.31502
Alamo,TN,35.796157,-89.14016
Alamo,TX,26.175021,-98.11969
Alamogordo,NM,32.7677335,-105.79410250000001
Alamosa,CO,37.47391399999999,-105.8582445
Alanreed,TX,35.201105,-100.74939
Alanson,MI,45.431122,-84.77654
Alapaha,GA,31.379665,-83.21803
Alba,MI,44.976915,-84.97282
Alba,MO,37.236623,-94.42087
Alba,PA,41.77197,-76.521266
Alba,TX,32.793512,-95.63182
Albany,CA,37.889125,-122.29371
Albany,GA,31.5672663,-84.1681703
Albany,IL,41.766003,-90.22322
Albany,IN,40.290747,-85.25293
Albany,KY,36.72024,-85.13539
Albany,LA,30.508318,-90.58546
Albany,MN,45.632455,-94.58257
Albany,MO,40.247423,-94.33216
Albany,NY,42.62976221568628,-73.92296152941177
Albany,OH,39.202517,-82.21421
Albany,OK,33.888549,-96.17244
Albany,OR,44.6287225,-123.07546450000001
Albany,TX,32.8896575,-98.935306
Albany,VT,44.733624,-72.38308
Albany,WI,42.71815,-89.44315
Albemarle,NC,35.307828,-80.15348900000001
Albers,IL,38.517125,-89.60258
Albert,KS,38.442368,-99.04195
Albert,OK,35.203206,-98.357423
Albert City,IA,42.768165,-94.97033
Albert Lea,MN,43.652042,-93.36916
Alberta,AL,32.170653,-87.36217
Alberta,MN,45.532754,-96.06453
Alberta,VA,36.87229,-77.91125
Alberton,MT,46.971146,-114.49692
Albertson,NC,35.11493,-77.82238
Albertson,NY,40.769942,-73.65004
Albertville,AL,34.287446,-86.21058500000001
Albertville,MN,45.237867,-93.66261
Albia,IA,41.026796,-92.7984
Albin,WY,41.425769,-104.18805
Albion,CA,39.216157,-123.71376
Albion,IA,42.116477,-93.00357
Albion,ID,42.390977,-113.59744
Albion,IL,38.375576,-88.07169
Albion,IN,41.361895,-85.43989
Albion,ME,44.513491,-69.43496
Albion,MI,42.261257,-84.75151
Albion,NE,41.708281,-98.0246
Albion,NY,43.244034,-78.2023
Albion,OK,34.660204,-95.09814
Albion,PA,42.033198,-80.22089249999999
Albion,RI,41.954098,-71.462053
Albion,WA,46.793604,-117.25208
Alborn,MN,46.956644,-92.63972
Albright,WV,39.539088,-79.63241
Albrightsville,PA,41.000937,-75.55484
Albuquerque,NM,35.074785361702126,-106.63405527659575
Alburg,VT,44.966836,-73.27028
Alburnett,IA,42.158477,-91.63859
Alburtis,PA,40.496375,-75.62213
Alcalde,NM,36.097705,-106.04254
Alcester,SD,42.974216,-96.63848
Alco,AR,35.883787,-92.41591
Alcoa,TN,35.784708,-83.97956
Alcolu,SC,33.76993,-80.17278
Alcova,WY,42.65723,-107.12523
Alcove,NY,42.482455,-73.936671
Alda,NE,40.860494,-98.47051
Alden,IA,42.50767,-93.40082
Alden,IL,42.324761,-88.452481
Alden,KS,38.238827,-98.31957
Alden,MI,44.877741,-85.24163
Alden,MN,43.667207,-93.55598
Alden,NY,42.898709,-78.51652
Aldenville,PA,41.615989,-75.274708
Alder,MT,45.125532,-112.12007
Alder Creek,NY,43.419132,-75.21942
Alderpoint,CA,40.169518,-123.60216
Alderson,OK,34.902286,-95.69073
Alderson,WV,37.731717,-80.65942
Aldie,VA,38.964054,-77.60878
Aldrich,MN,46.376819,-94.93781
Aldrich,MO,37.537425,-93.57069
Aledo,IL,41.202461,-90.73137
Aledo,TX,32.690922,-97.64013
Aleknagik,AK,59.269535,-158.62458
Aleppo,PA,39.792529,-80.48584
Alex,OK,34.936221,-97.74453
Alexander,AR,34.644387,-92.50223
Alexander,IA,42.811536,-93.46844
Alexander,IL,39.754308,-90.02786
Alexander,KS,38.446509,-99.53906
Alexander,NC,35.712999,-82.63479
Alexander,ND,47.826449,-103.65916
Alexander,NY,42.906765,-78.24581
Alexander City,AL,32.9468115,-85.94234549999999
Alexandria,AL,33.766057000000004,-85.88969
Alexandria,IN,40.257082,-85.673
Alexandria,KY,38.946893,-84.38652
Alexandria,LA,31.22601314285714,-92.48300414285714
Alexandria,MN,45.88645,-95.38287
Alexandria,MO,40.381613,-91.50598
Alexandria,NE,40.247793,-97.41164
Alexandria,OH,40.091576,-82.61225
Alexandria,PA,40.561651,-78.10583
Alexandria,SD,43.645927,-97.76631
Alexandria,TN,36.076635,-86.01978
Alexandria,VA,38.799196227272724,-77.09773936363636
Alexandria Bay,NY,44.328698,-75.93103
Alexis,IL,41.067549,-90.57994
Alexis,NC,35.403268,-81.09974
Alford,FL,30.641154,-85.37542
Alfred,ME,43.490939,-70.6884
Alfred,NY,42.255694,-77.78904
Alfred Station,NY,42.258793,-77.77793
Alger,MI,44.142282,-84.14497
Alger,OH,40.696862,-83.8231
Algodones,NM,35.388701,-106.42793
Algoma,MS,34.171543,-89.032791
Algoma,WI,44.613604,-87.46502
Algona,IA,43.0739,-94.22602
Algonac,MI,42.631359,-82.554
Algonquin,IL,42.17315,-88.31849
Alhambra,CA,33.870905428571426,-118.25235857142856
Alhambra,IL,38.884434,-89.74886
Alice,TX,27.716040666666665,-98.06268166666666
Aliceville,AL,33.095505,-88.18653
Alicia,AR,35.930405,-91.07664
Alief,TX,29.83399,-95.434241
Aline,OK,36.49556,-98.49057
Aliquippa,PA,40.603966,-80.28776
Aliso Viejo,CA,33.6109175,-117.747091
Alix,AR,35.415616,-93.73383
Alkol,WV,38.169041,-81.92567
Allakaket,AK,66.557586,-152.6559
Allamuchy,NJ,40.869648,-74.849661
Allardt,TN,36.392571,-84.73614
Alledonia,OH,39.890564,-80.9766
Alleene,AR,33.780463,-94.24384
Allegan,MI,42.531244,-85.87438
Allegany,NY,42.10143,-78.51587
Allegany,OR,43.246918,-124.231068
Alleghany,CA,39.465229,-120.84496
Allegre,KY,36.929243,-87.219328
Alleman,IA,41.804875,-93.60475
Allen,KS,38.672825,-96.16385
Allen,KY,37.611434,-82.72503
Allen,MD,38.292848,-75.68812
Allen,MI,41.956743,-84.76598
Allen,NE,42.450185,-96.85153
Allen,OK,34.817511,-96.4108
Allen,SD,43.31492,-101.92918
Allen,TX,33.099714000000006,-96.659245
Allen Junction,WV,37.603344,-81.53998
Allen Park,MI,42.254788,-83.21027
Allendale,IL,38.528202,-87.72913
Allendale,MI,42.973667,-85.9318
Allendale,MO,40.478118,-94.423294
Allendale,NJ,41.031505,-74.13409
Allendale,SC,33.010041,-81.33069
Allendorf,IA,43.415305,-95.643435
Allenhurst,GA,31.764663,-81.6098
Allenhurst,NJ,40.269817,-74.12809
Allenport,PA,40.100345,-79.846
Allenspark,CO,40.223935,-105.52421
Allensville,KY,36.70996,-87.07105
Allensville,PA,40.510176,-77.83124
Allenton,MI,42.938385,-82.91582
Allenton,MO,38.638318,-90.427118
Allenton,WI,43.461969,-88.36432
Allentown,GA,32.600622,-83.22096
Allentown,NJ,40.164556,-74.57785
Allentown,NY,42.073739,-78.059374
Allentown,PA,40.61434644444444,-75.51798822222221
Allenwood,NJ,40.14386,-74.10286
Allenwood,PA,41.117517,-77.00557
Allerton,IA,40.688451,-93.37907
Allerton,IL,39.909736,-87.93384
Alleyton,TX,29.698797,-96.45594
Allgood,AL,33.922162,-86.449262
Alliance,NC,35.156145,-76.632264
Alliance,NE,42.13928,-102.84937
Alliance,OH,40.917908,-81.11641
Alligator,MS,34.127564,-90.73281
Allison,IA,42.74806,-92.80277
Allison,PA,39.987842,-79.86681
Allison,TX,35.629034,-100.09291
Allison Park,PA,40.570915,-79.96033
Allons,TN,36.525275,-85.36148
Allouez,MI,47.322703,-88.40806
Alloway,NJ,39.559426,-75.3631
Alloy,WV,38.129903,-81.25882
Allport,PA,40.989115,-78.422403
Allred,TN,36.323957,-85.20787
Allston,MA,42.355147,-71.13164
Allyn,WA,47.374343,-122.8388
Alma,AL,31.463968,-87.73883
Alma,AR,35.48891,-94.20897
Alma,CO,39.293921,-106.06889
Alma,GA,31.551458,-82.44618
Alma,IL,38.735571,-88.91864
Alma,KS,38.990708,-96.29473
Alma,MI,43.383187500000005,-84.66461050000001
Alma,MO,39.10223,-93.53531
Alma,NE,40.142462,-99.35398
Alma,NY,42.016108,-78.05768
Alma,WI,44.362741,-91.85287
Alma,WV,39.41849,-80.80604
Alma Center,WI,44.44202,-90.93859
Almedia,PA,41.016832,-76.377114
Almelund,MN,45.513447,-92.894239
Almena,KS,39.891365,-99.72471
Almena,WI,45.418325,-92.02914
Almira,WA,47.721863,-118.95554
Almo,ID,42.08685,-113.64135
Almo,KY,36.697107,-88.29836
Almond,NC,35.412166,-83.58395
Almond,NY,42.321173,-77.82312
Almond,WI,44.28018,-89.36002
Almont,CO,38.778749,-106.62831
Almont,MI,42.931178,-83.04585
Almont,ND,46.657221,-101.53747
Almyra,AR,34.403216,-91.40953
Alna,ME,44.084989,-69.62535
Alpaugh,CA,35.889586,-119.49352
Alpena,AR,36.272469,-93.31302
Alpena,MI,45.08583,-83.46411
Alpena,SD,44.195319,-98.3734
Alpha,IL,41.189123,-90.36813
Alpha,KY,36.7703,-85.01043
Alpha,MI,46.0453475,-88.3760045
Alpha,MN,43.645226,-94.8715
Alpha,OH,39.711173,-84.02323
Alpharetta,GA,33.99606133333334,-84.325964
Alpine,AL,33.35596,-86.2772
Alpine,AR,34.055486,-93.189406
Alpine,AZ,33.836157,-109.19785
Alpine,CA,32.920015,-116.792343
Alpine,NJ,40.952814,-73.93064
Alpine,NY,42.366682,-76.72562
Alpine,TN,36.400338,-85.16208
Alpine,TX,30.26952125,-103.64236125
Alpine,UT,40.465161,-111.76279
Alpine,WY,43.129462,-110.93247
Alplaus,NY,42.853043,-73.9029
Alsace,PA,40.394884,-75.86638
Alsea,OR,44.369264,-123.62349
Alsen,ND,48.637939,-98.61192
Alsey,IL,39.564501,-90.43698
Alsip,IL,41.675861,-87.73189
Alstead,NH,43.142384,-72.32575
Alston,GA,32.083879,-82.47988
Alta,CA,39.217668,-120.78346
Alta,IA,42.687676,-95.3188
Alta,WY,43.75,-111.04
Alta Loma,CA,34.139753999999996,-117.58543499999999
Alta Vista,IA,43.191256,-92.46546
Alta Vista,KS,38.862376,-96.47367
Altadena,CA,33.989348,-118.220361
Altair,TX,29.575183,-96.46831
Altamahaw,NC,36.185712,-79.50496
Altamont,IL,39.062913,-88.73912
Altamont,KS,37.180641,-95.30389
Altamont,MO,39.900508,-94.08876
Altamont,NY,42.698692,-74.03148
Altamont,TN,35.429018,-85.77679
Altamont,UT,40.395531,-110.27969
Altamonte Springs,FL,28.7049165,-81.30641
Altaville,CA,38.077,-120.55401
Altavista,VA,37.127543,-79.27409
Altenburg,MO,37.584014,-89.6032
Altha,FL,30.5403,-85.18229
Altheimer,AR,34.252213,-91.7679
Altmar,NY,43.499843,-75.97716
Alto,GA,34.542559999999995,-83.549532
Alto,MI,42.834137,-85.41889
Alto,NM,33.420542,-105.63599
Alto,TX,31.6370065,-95.0685945
Alto Pass,IL,37.571235,-89.33462
Alton,AL,33.544622,-86.929208
Alton,IA,42.983011,-95.99636
Alton,IL,38.906065,-90.15909
Alton,KS,39.461403,-98.95757
Alton,MO,36.679742,-91.36286
Alton,NH,43.478364,-71.22377
Alton,NY,43.222735,-76.982149
Alton,UT,37.474045,-112.53409
Alton,VA,36.561396,-79.05268
Alton Bay,NH,43.478917,-71.28776
Altona,IL,41.117342,-90.16063
Altona,NY,44.879986,-73.65694
Altonah,UT,40.45679,-110.32673
Altoona,AL,34.057496,-86.32225
Altoona,FL,29.046215,-81.64043
Altoona,IA,41.644716,-93.46641
Altoona,KS,37.551596,-95.65671
Altoona,PA,40.510086333333334,-78.40068833333333
Altoona,WI,44.80416,-91.43963
Altura,MN,44.128262,-91.95965
Alturas,CA,41.439363,-120.58771
Alturas,FL,28.002553,-81.61864
Altus,AR,35.44477,-93.747
Altus,OK,34.681284000000005,-99.350899
Altus AFB,OK,34.598197,-99.440839
Alum Bank,PA,40.188405,-78.63027
Alum Bridge,WV,39.051863,-80.6844
Alum Creek,WV,38.254483,-81.79045
Alva,FL,26.711362,-81.61684
Alva,OK,36.804875,-98.69707
Alva,WY,44.706167,-104.45138
Alvada,OH,41.053889,-83.41412
Alvadore,OR,44.127631,-123.266648
Alvarado,MN,48.192532,-96.9986
Alvarado,TX,32.408183,-97.20956
Alvaton,KY,36.86316,-86.35202
Alverda,PA,40.632966,-78.85799
Alverton,PA,40.136883,-79.59033
Alvin,IL,40.293159,-87.61401
Alvin,TX,29.387179500000002,-95.2604
Alviso,CA,37.427439,-121.97521
Alvo,NE,40.874192,-96.38842
Alvord,IA,43.352016,-96.30802
Alvord,TX,33.360331,-97.69158
Alvordton,OH,41.673094,-84.44711
Alzada,MT,45.189905,-104.38569
Ama,LA,29.942703,-90.29969
Amado,AZ,31.718671,-111.09908
Amador City,CA,38.426602,-120.8275
Amagansett,NY,40.985301,-72.10411
Amagon,AR,35.569503,-91.10435
Amalia,NM,36.962335,-105.41628
Amana,IA,41.747326,-91.96936149999999
Amanda,OH,39.651028,-82.76098
Amanda Park,WA,47.463965,-124.02938
Amargosa Valley,NV,36.52513,-116.46173
Amarillo,TX,35.30811969047619,-101.88064188095238
Amasa,MI,46.234686,-88.45043
Amawalk,NY,41.289939,-73.76493
Amazonia,MO,39.90444,-94.92726
Amber,OK,35.152892,-97.85582
Amberg,WI,45.503625,-88.08108
Amberson,PA,40.171667,-77.661354
Ambia,IN,40.469643,-87.50098
Ambler,AK,67.083658,-157.86225
Ambler,PA,40.169608,-75.21158
Amboy,CA,34.548138,-115.65796
Amboy,IL,41.707588,-89.34371
Amboy,IN,40.614885,-85.93863
Amboy,MN,43.899907,-94.20634
Amboy,WA,45.935656,-122.43726
Ambridge,PA,40.593917,-80.22181
Ambrose,GA,31.57344,-83.01502
Ambrose,ND,48.894491,-103.51215
Ameagle,WV,37.784459,-81.118491
Amelia,LA,29.688425,-91.220844
Amelia,NE,42.214277,-98.98515
Amelia,OH,39.023067,-84.2099
Amelia Court House,VA,37.338511,-77.95893
Amenia,ND,47.028291,-97.25029
Amenia,NY,41.852959,-73.55727
American Canyon,CA,38.170372,-122.25605
American Falls,ID,42.75159,-112.91931
American Fork,UT,40.394235,-111.79449
Americus,GA,32.06945566666666,-84.21787733333333
Americus,KS,38.513771,-96.25853
Amery,WI,45.326339,-92.37857
Ames,IA,42.029131,-93.606305
Ames,NE,41.482181,-96.63929
Ames,OK,36.236511,-98.169111
Amesbury,MA,42.854423,-70.93547
Amesville,OH,39.429095,-81.94337
Amf Ohare,IL,41.968029,-87.891214
Amherst,CO,40.681557,-102.16663
Amherst,MA,42.377235666666664,-72.550801
Amherst,NE,40.887707,-99.2839
Amherst,NH,42.854886,-71.6082
Amherst,OH,41.386533,-82.23419
Amherst,SD,45.755146,-97.92723
Amherst,TX,34.017448,-102.3858
Amherst,VA,37.616606,-79.08763
Amherst,WI,44.421111,-89.30618
Amherst Junction,WI,44.513056,-89.30422
Amherstdale,WV,37.788146,-81.80248
Amherstdale-Robinette,WV,37.790435,-81.784532
Amidon,ND,46.486096,-103.31682
Amigo,WV,37.603344,-81.53998
Amissville,VA,38.687281999999996,-78.06366449999999
Amistad,NM,35.890633,-103.20194
Amite,LA,30.723034,-90.52108
Amity,AR,34.257603,-93.45822
Amity,MO,39.898708,-94.47948
Amity,OR,45.100504,-123.22834
Amity,PA,40.180733000000004,-77.9720385
Amityville,NY,40.803713,-73.025124
Amlin,OH,40.05991,-83.18299
Amma,WV,38.552755,-81.24219
Ammon,VA,37.072361,-77.647495
Amo,IN,39.688673,-86.61409
Amonate,VA,37.177549,-81.6578
Amoret,MO,38.266148,-94.55686
Amorita,OK,36.949448,-98.28297
Amory,MS,33.988235,-88.46783
Amsden,OH,41.037511,-82.910552
Amsterdam,MO,38.363183,-94.57551
Amsterdam,NY,42.940644,-74.17899
Amsterdam,OH,40.469171,-80.93363
Amston,CT,41.629818,-72.36419
Anabel,MO,39.753475,-92.3224
Anacoco,LA,31.215039,-93.42301
Anaconda,MT,46.141686,-112.98902
Anacortes,WA,48.495234,-122.61976
Anadarko,OK,35.050671,-98.23984
Anaheim,CA,33.733674,-117.813484
Anahola,HI,22.148133,-159.31765
Anahuac,TX,29.689054,-94.66375
Anaktuvuk Pass,AK,68.148216,-151.72854
Analomink,PA,41.071213,-75.236436
Anamoose,ND,47.87756,-100.23677
Anamosa,IA,42.106972,-91.27531
Anasco,PR,18.288319,-67.13604
Anatone,WA,46.086657,-117.2491
Anawalt,WV,37.338242,-81.43081
Anchor,IL,40.553838,-88.5101
Anchor Point,AK,59.798363,-151.73566
Anchorage,AK,61.16251146153846,-149.76542196153846
Anchorville,MI,42.824095,-82.66522
