L101,L102,L103,L104,L106,L107,L108,DAY,TIME
48.43,54.14,24.61,61.225,25,12.005,39.57,10,2646
48.235,52.365,20.475,88.98,30.32,14.565,29.92,10,2647
23.82,26.775,16.34,87.8,40.555,11.225,42.13,10,2648
36.42,18.705,25.59,100,55.32,9.255,15.355,10,2649
44.495,25,62.21,100,58.465,12.6,20.87,10,2650
31.895,24.805,37.995,100,34.845,19.49,29.53,10,2651
29.92,13.19,25.2,100,18.895,25.59,8.66,10,2652
50.595,9.055,25,72.055,27.955,20.67,12.795,10,2653
38.39,17.72,23.82,47.445,20.08,11.615,12.99,10,2654
13.78,17.325,15.555,61.815,17.32,12.99,19.295,10,2655
15.945,14.37,20.67,99.61,21.26,11.025,25.79,10,2656
12.4,23.23,11.81,96.855,24.02,12.005,10.435,10,2657
10.43,22.835,27.755,77.365,34.845,15.945,10.435,10,2658
12.795,15.95,23.825,71.66,29.925,26.575,11.225,10,2659
39.77,18.11,13.78,70.085,29.33,12.6,29.135,10,2660
10.43,19.29,47.445,43.9,35.83,8.075,10.435,10,2661
11.81,12.205,26.775,42.13,33.86,16.735,16.535,10,2662
36.62,17.32,24.605,50.4,20.87,13.385,11.415,10,2663
50.595,22.84,26.38,77.17,29.135,8.665,23.035,10,2664
36.42,11.615,52.17,76.38,36.615,12.405,30.12,10,2665
50.99,16.145,52.17,94.495,26.97,10.825,9.055,10,2666
60.24,13.78,23.62,92.325,30.12,10.04,9.055,10,2667
76.185,20.28,15.75,56.105,25.005,17.125,39.765,10,2668
47.84,17.325,33.465,54.335,20.08,14.175,12.995,10,2669
51.185,14.175,36.42,73.43,36.615,18.505,14.37,10,2670
44.885,14.965,80.125,84.85,40.355,15.355,41.345,10,2671
35.63,16.93,34.645,75.6,59.26,13.19,51.97,10,2672
22.445,11.81,25.395,56.695,36.815,14.765,41.535,10,2673
9.84,14.765,24.215,46.46,32.68,13.58,27.36,10,2674
11.615,15.16,49.61,51.185,62.6,9.645,25.59,10,2675
16.535,12.405,56.305,55.125,35.045,19.29,38.585,10,2676
35.635,16.73,44.295,67.33,25.99,8.86,10.04,10,2677
52.955,14.57,79.335,80.715,37.01,8.27,19.49,10,2678
42.13,11.22,85.635,63.39,26.575,17.915,16.145,10,2679
42.72,23.425,44.1,49.22,23.035,43.31,26.185,10,2680
83.665,12.01,27.755,52.76,24.61,52.76,12.205,10,2681
75.005,10.04,31.895,39.965,22.045,23.23,19.885,10,2682
55.91,14.175,40.945,51.97,31.3,12.6,7.48,10,2683
65.95,14.175,16.535,53.945,19.685,23.03,9.65,10,2684
61.815,12.795,24.41,62.6,16.93,11.615,15.75,10,2685
37.995,10.83,43.51,43.31,27.955,10.63,15.945,10,2686
33.075,13.78,32.485,53.35,21.46,8.27,9.25,10,2687
18.9,12.6,50.595,46.265,23.625,17.325,26.97,10,2688
28.345,13.39,57.09,53.94,32.085,17.915,24.215,10,2689
11.81,14.175,77.175,59.845,25.59,8.465,10.83,10,2690
11.22,9.25,45.28,38.39,49.41,13.385,26.97,10,2691
14.965,13.58,22.05,63.59,40.945,7.085,11.81,10,2692
55.32,13.585,43.31,56.305,20.67,10.63,11.81,10,2693
46.855,25,34.845,73.43,28.345,9.055,16.34,10,2694
31.105,22.44,37.405,97.25,26.18,9.45,15.75,10,2695
13.385,11.615,30.12,100,20.47,12.205,21.26,10,2696
34.06,12.005,31.5,70.28,30.12,22.245,30.71,10,2697
33.07,22.84,73.63,48.625,25.79,10.24,36.815,10,2698
42.915,41.935,37.605,84.655,39.175,14.37,25.785,10,2699
38.98,13.385,59.26,100,32.085,12.795,12.01,10,2700
59.65,21.655,44.69,100,45.475,28.15,10.825,10,2701
60.045,14.765,36.42,100,39.175,17.52,13.39,10,2702
62.995,18.115,58.47,100,31.105,11.225,55.125,10,2703
77.37,45.48,51.185,100,33.47,12.6,32.485,10,2704
62.21,88.395,41.145,100,61.42,9.06,24.415,10,2705
71.265,85.83,56.7,100,43.9,10.63,16.535,10,2706
58.665,98.23,47.84,100,53.94,13.78,21.85,10,2707
75.005,95.675,27.56,100,38.39,12.795,33.27,10,2708
73.625,98.43,23.23,100,34.845,15.16,17.72,10,2709
74.22,70.87,50.2,100,26.775,20.67,27.365,10,2710
57.29,28.35,15.95,100,33.075,29.135,21.655,10,2711
57.09,19.685,34.255,100,25.595,20.865,31.105,10,2712
66.935,17.325,34.65,99.02,22.05,35.04,21.655,10,2713
46.46,8.07,24.805,43.115,9.45,16.34,7.48,10,2714
73.235,11.81,17.52,68.115,20.865,16.145,7.485,10,2715
67.325,27.36,13.975,52.37,19.685,19.685,19.69,10,2716
47.25,27.365,18.115,70.475,18.705,18.505,7.085,10,2717
22.44,18.9,12.8,65.36,18.9,24.805,7.48,10,2718
16.145,24.41,17.915,70.085,15.55,37.01,28.745,10,2719
14.175,15.945,14.175,69.885,25.985,18.505,12.01,10,2720
11.025,13.58,50.595,60.83,18.505,17.32,12.4,10,2721
14.765,18.115,24.015,77.565,24.605,12.205,21.85,10,2722
24.605,14.175,39.175,58.665,22.25,27.365,10.63,10,2723
35.045,18.11,37.405,41.54,23.625,13.19,13.39,10,2724
24.61,34.06,16.34,74.025,22.64,11.42,18.115,10,2725
31.105,25.395,30.515,83.865,30.515,12.8,12.99,10,2726
13.78,14.765,83.67,90.36,20.475,14.175,23.425,10,2727
31.89,20.865,60.24,90.36,19.29,26.575,15.16,10,2728
31.305,17.915,63.985,100,22.84,40.355,12.795,10,2729
7.085,4.135,31.3,38.98,10.83,8.465,4.725,10,2730
16.93,22.44,62.405,68.705,19.49,23.425,6.105,10,2731
13.585,12.995,47.05,54.925,15.55,31.105,8.665,10,2732
11.815,14.765,29.53,43.9,20.865,14.37,14.565,10,2733
12.6,20.275,40.95,74.02,22.05,7.09,9.84,10,2734
11.42,22.64,50.99,100,21.66,19.685,36.62,10,2735
12.6,28.345,36.225,99.02,17.915,28.545,14.96,10,2736
11.815,17.325,23.62,82.88,15.945,26.185,11.025,10,2737
15.16,14.175,13.98,63.195,18.305,22.25,19.69,10,2738
13.975,20.08,29.725,51.38,22.445,25.79,10.63,10,2739
11.025,17.325,35.435,66.15,17.915,10.235,25.595,10,2740
13.385,11.42,16.735,58.27,16.735,22.64,15.75,10,2741
21.065,39.175,20.67,65.95,24.415,13.19,11.815,10,2742
14.175,16.93,33.465,99.805,21.065,14.175,15.55,10,2743
15.55,31.3,39.57,100,23.625,11.22,26.38,10,2744
29.33,56.89,27.76,100,17.325,17.915,71.855,10,2745
10.235,13.385,8.855,50.785,13.585,11.615,25.985,10,2746
15.355,41.345,22.64,83.27,19.685,35.63,38.585,10,2747
20.08,33.665,19.49,98.23,19.295,31.695,43.9,10,2748
25.395,46.265,16.935,100,22.44,40.95,23.625,10,2749
24.415,29.335,37.405,100,24.41,21.655,10.04,10,2750
15.55,18.115,28.74,100,24.41,19.49,28.94,10,2751
18.505,20.08,42.72,96.655,21.655,25,25,10,2752
14.37,29.73,20.475,100,19.685,20.87,8.66,10,2753
12.99,45.28,13.98,100,27.565,25.2,27.56,10,2754
10.63,47.445,29.33,100,17.915,24.805,10.435,10,2755
11.415,42.325,26.58,100,27.365,24.415,17.52,10,2756
12.21,70.675,57.285,96.855,18.505,14.57,15.75,10,2757
14.565,50.595,12.795,100,26.775,27.76,9.055,10,2758
7.675,16.535,12.205,100,25.79,85.045,9.255,10,2759
12.005,20.28,14.565,100,19.88,92.72,18.31,10,2760
9.645,18.115,18.31,77.565,28.35,89.575,18.11,10,2761
11.22,16.535,35.83,65.16,24.215,75.005,17.715,10,2762
10.63,20.47,27.365,73.235,16.93,69.3,85.045,10,2763
12.99,19.685,30.91,87.405,25.985,83.67,59.255,10,2764
10.235,13.98,62.015,73.04,24.415,93.71,77.96,10,2765
14.37,20.475,54.14,51.38,30.12,97.055,73.63,10,2766
12.8,18.505,70.87,58.67,22.84,94.69,65.95,10,2767
21.26,13.39,27.955,44.295,18.9,85.44,30.32,10,2768
34.845,28.545,28.35,48.82,24.415,74.415,39.375,10,2769
37.995,31.695,44.295,90.555,25.005,81.7,24.605,10,2770
35.045,32.875,44.69,100,20.67,77.17,18.505,10,2771
14.175,24.805,47.05,100,23.035,100,22.445,10,2772
32.68,12.405,31.105,87.405,17.72,97.25,27.565,10,2773
19.685,14.37,23.625,46.66,22.245,82.485,40.355,10,2774
23.03,23.03,29.92,76.185,22.835,67.13,56.895,10,2775
38.78,24.81,35.24,100,19.885,78.94,21.655,10,2776
30.32,23.625,35.24,97.25,28.35,85.24,34.845,10,2777
25.005,29.725,43.51,100,21.855,89.38,45.87,10,2778
10.825,41.54,55.91,99.02,36.03,72.25,35.045,10,2779
20.08,26.575,47.64,100,22.245,79.53,20.275,10,2780
10.825,20.475,48.625,93.51,33.465,78.745,37.01,10,2781
26.185,25.2,45.87,99.415,22.245,85.835,27.565,10,2782
37.605,28.35,36.815,87.61,22.44,90.955,30.315,10,2783
12.005,16.34,35.83,87.405,34.45,82.095,32.68,10,2784
18.11,16.34,51.775,89.97,44.69,88,29.92,10,2785
22.64,25.2,44.1,54.53,65.75,89.18,20.08,10,2786
30.12,30.12,29.725,73.04,24.805,58.075,44.295,10,2787
42.915,21.26,56.3,95.475,46.065,69.3,51.385,10,2788
51.38,30.315,62.8,98.035,30.32,78.55,41.34,10,2789
14.175,54.53,47.445,100,30.515,66.735,24.805,10,2790
23.625,62.405,54.335,100,26.185,27.955,14.375,10,2791
22.245,13.58,32.285,83.865,36.815,30.715,28.545,10,2792
26.97,22.245,46.065,51.185,30.32,29.53,27.76,10,2793
32.875,23.03,45.085,84.455,27.56,47.835,17.125,10,2794
39.175,13.385,31.89,54.335,39.765,27.56,24.41,10,2795
50.99,11.615,44.495,50.4,24.41,15.355,23.82,10,2796
54.73,12.6,32.09,34.455,31.105,10.235,21.265,10,2797
31.895,15.16,35.24,61.425,43.705,12.4,16.735,10,2798
34.845,17.72,14.765,50.79,48.825,9.25,16.93,10,2799
18.9,17.125,49.61,84.85,21.655,12.795,26.575,10,2800
13.975,12.205,20.87,53.35,26.775,15.16,22.05,10,2801
17.915,12.005,50.395,51.185,24.215,15.16,29.925,10,2802
16.535,16.735,22.445,56.895,19.1,7.48,47.64,10,2803
16.34,16.535,30.515,91.345,26.775,9.645,29.92,10,2804
10.435,17.325,24.605,50.985,26.975,19.885,19.295,10,2805
12.8,17.13,42.52,34.255,19.49,12.005,13.585,10,2806
13.585,16.535,13.78,74.61,23.82,7.48,25,10,2807
25.79,21.85,20.28,55.125,24.02,13.585,31.5,10,2808
24.215,35.24,26.38,55.515,24.41,8.265,34.65,10,2809
10.825,17.125,37.605,67.525,34.845,8.66,16.93,10,2810
21.065,22.445,61.23,62.6,17.52,10.63,14.57,10,2811
22.245,21.855,32.09,98.43,20.475,8.07,17.52,10,2812
46.66,34.845,22.64,95.87,29.53,9.645,24.215,10,2813
71.265,24.805,30.71,100,27.955,10.825,32.09,10,2814
48.82,42.72,28.94,78.94,25.59,13.975,15.95,10,2815
39.175,64.375,31.89,53.545,23.23,11.81,17.125,10,2816
44.295,64.965,18.9,69.295,32.675,9.255,22.64,10,2817
32.875,36.22,34.645,54.335,33.86,12.795,30.905,10,2818
34.455,28.35,20.475,61.42,41.935,9.45,21.655,10,2819
37.405,22.05,35.825,37.4,16.93,12.6,16.535,10,2820
40.555,36.025,17.72,61.42,23.62,8.665,26.185,10,2821
25.195,38.78,29.725,74.61,20.67,10.63,23.62,10,2822
17.325,29.33,18.11,62.8,19.49,11.81,23.03,10,2823
20.28,27.955,18.705,90.95,24.02,7.675,20.67,10,2824
23.03,30.12,13.385,100,21.85,11.615,16.735,10,2825
22.64,34.45,35.83,100,19.29,8.465,37.6,10,2826
14.57,37.6,13.58,100,16.535,9.45,15.36,10,2827
19.685,42.13,15.75,100,22.05,9.845,26.38,10,2828
19.685,31.3,39.175,100,46.66,11.81,14.57,10,2829
10.825,41.54,31.695,95.28,30.91,24.02,13.98,10,2830
18.11,67.13,37.605,100,54.335,9.055,22.835,10,2831
18.705,49.02,41.93,100,21.065,10.24,11.42,10,2832
10.04,39.57,25.395,88.585,19.685,11.22,25,10,2833
15.55,61.62,26.58,100,22.445,10.24,15.555,10,2834
18.115,20.08,15.75,71.065,13.975,14.175,19.49,10,2835
11.81,45.08,20.87,93.705,20.475,7.875,28.35,10,2836
13.78,17.915,28.155,100,25.395,9.25,36.615,10,2837
19.685,24.02,45.48,76.58,26.97,8.465,40.555,10,2838
15.555,40.555,59.455,72.84,22.835,8.27,15.75,10,2839
15.75,24.015,35.435,96.07,20.08,6.69,15.75,10,2840
15.945,50.985,24.805,89.765,16.145,8.86,10.435,10,2841
15.155,26.97,32.48,92.915,17.52,9.055,14.57,10,2842
16.535,17.52,21.455,52.76,21.065,8.07,9.25,10,2843
19.295,11.02,28.94,39.375,17.915,9.65,18.895,10,2844
15.355,18.31,11.81,42.72,15.75,7.48,9.255,10,2845
10.435,18.9,12.4,41.74,15.355,10.235,14.765,10,2846
10.63,14.96,23.035,52.76,22.835,8.855,12.01,10,2847
13.585,13.975,16.34,27.365,14.565,8.465,14.57,10,2848
13.78,18.9,15.945,37.795,20.085,7.285,20.865,10,2849
14.37,18.11,21.065,73.63,15.555,9.84,21.46,10,2850
12.405,18.115,13.78,66.735,20.87,11.615,15.745,10,2851
8.465,17.915,24.215,46.66,19.1,13.58,27.955,10,2852
8.665,44.49,12.21,38.98,17.915,7.085,21.655,10,2853
11.81,20.475,14.765,62.605,18.705,8.265,20.475,10,2854
10.83,13.39,18.705,35.83,17.125,17.125,8.465,10,2855
18.9,13.39,14.96,45.28,16.54,8.07,11.225,10,2856
10.825,13.975,9.84,36.025,11.815,7.48,25.79,10,2857
11.42,12.205,16.145,23.425,17.715,14.37,26.775,10,2858
10.435,13.785,17.915,44.885,17.72,6.69,12.01,10,2859
18.705,19.29,16.145,37.995,16.735,12.01,10.63,10,2860
12.795,8.66,13.585,35.635,16.535,6.695,15.75,10,2861
11.815,12.795,11.615,29.53,14.175,7.09,11.615,10,2862
9.645,15.16,14.175,31.5,23.235,10.04,11.615,10,2863
11.22,10.63,11.415,27.56,13.19,7.285,10.04,10,2864
9.255,10.435,10.43,26.185,11.42,7.285,9.255,10,2865
8.07,9.055,10.825,35.045,18.9,6.89,16.535,10,2866
10.235,11.025,14.565,23.825,15.355,8.07,7.085,10,2867
9.845,9.255,10.04,35.435,14.57,4.53,13.585,10,2868
10.63,12.99,13.385,26.775,15.945,12.995,9.055,10,2869
8.66,10.635,12.595,38.195,12.4,6.89,9.65,10,2870
10.43,8.27,18.7,27.17,14.175,8.66,12.205,10,2871
8.27,13.385,21.26,33.665,18.705,5.315,10.435,10,2872
12.99,11.42,12.6,35.635,12.405,6.695,9.255,10,2873
11.415,15.55,10.04,23.43,14.765,11.025,6.695,10,2874
7.48,10.83,7.68,31.5,13.975,7.285,40.355,10,2875
7.68,9.65,7.285,21.26,8.86,6.69,50.595,10,2876
9.65,8.86,6.695,22.05,10.24,6.495,53.35,10,2877
8.27,11.025,17.13,27.17,15.95,3.74,39.765,10,2878
11.415,8.465,7.875,25.99,10.435,6.89,12.6,10,2879
6.495,7.48,22.84,19.49,18.11,4.72,9.84,10,2880
6.69,7.68,10.825,23.03,25,5.12,10.825,11,2881
8.265,8.07,11.615,23.625,17.72,4.525,4.13,11,2882
7.285,6.695,3.545,24.41,6.1,5.51,3.74,11,2883
5.905,11.615,6.3,32.29,10.235,6.89,6.695,11,2884
7.675,8.86,7.68,23.03,12.6,7.28,4.13,11,2885
6.695,11.22,8.665,23.035,18.9,5.315,7.68,11,2886
6.89,9.06,7.09,22.84,13.975,5.12,7.48,11,2887
5.315,3.74,8.27,13.58,15.555,4.925,6.1,11,2888
7.68,7.48,8.66,17.72,11.415,3.935,4.33,11,2889
3.94,8.27,5.12,24.02,11.025,5.71,10.635,11,2890
4.135,7.28,11.22,21.655,13.19,5.51,7.085,11,2891
5.905,7.48,7.675,20.67,12.6,4.925,4.525,11,2892
6.495,7.675,7.085,17.525,13.19,5.12,5.115,11,2893
5.315,7.285,37.405,15.945,10.63,5.71,3.15,11,2894
6.3,9.845,15.55,25.395,11.815,6.3,4.72,11,2895
5.115,5.905,6.89,17.72,12.205,6.495,3.94,11,2896
4.92,5.515,5.905,13.585,11.02,4.92,4.33,11,2897
5.51,4.92,5.905,16.145,9.45,5.905,5.905,11,2898
4.53,5.905,4.92,19.49,11.22,3.15,6.1,11,2899
5.12,5.51,6.1,18.7,7.875,4.525,3.935,11,2900
5.315,4.925,5.315,17.325,9.45,4.33,3.54,11,2901
4.92,6.3,7.285,17.13,11.025,4.53,5.71,11,2902
1.97,2.56,1.18,9.45,2.955,0.985,2.36,11,2903
3.15,7.675,5.315,18.9,10.235,3.935,3.935,11,2904
4.92,4.53,5.905,16.34,8.465,3.74,3.935,11,2905
4.725,5.71,6.105,16.535,10.43,2.76,4.135,11,2906
4.135,4.92,4.92,18.705,11.025,3.545,3.345,11,2907
3.94,4.72,5.315,13.19,11.025,3.935,4.53,11,2908
4.33,5.51,6.105,18.7,11.025,2.95,3.935,11,2909
4.33,4.33,3.74,11.615,9.055,3.545,3.15,11,2910
2.755,6.295,3.74,15.945,4.92,3.935,2.365,11,2911
2.165,4.33,3.935,12.6,6.89,4.525,2.56,11,2912
3.74,4.525,3.935,12.01,7.875,3.345,3.545,11,2913
4.92,5.905,5.51,17.52,9.84,3.545,3.545,11,2914
3.94,5.705,4.33,17.13,7.675,3.935,2.165,11,2915
3.545,4.72,2.955,13.98,6.1,3.94,3.15,11,2916
2.755,4.135,3.74,12.01,8.465,4.13,4.135,11,2917
3.35,4.92,4.53,12.005,6.89,2.755,3.15,11,2918
3.545,4.92,3.54,15.75,4.13,2.95,2.165,11,2919
2.165,5.115,3.345,16.735,9.255,4.33,3.15,11,2920
3.545,4.33,3.74,10.435,4.925,2.165,2.36,11,2921
5.51,4.53,3.54,12.795,6.3,2.95,1.57,11,2922
3.545,3.15,3.74,7.875,7.48,2.955,2.56,11,2923
2.955,3.935,2.755,10.235,5.315,2.95,2.56,11,2924
3.345,3.74,3.545,10.63,4.725,1.57,1.965,11,2925
2.955,3.345,2.36,12.01,4.33,4.135,2.165,11,2926
2.36,4.92,2.76,13.98,6.3,2.165,2.36,11,2927
3.15,2.755,3.74,10.24,6.3,3.74,1.965,11,2928
2.165,3.345,3.74,10.235,7.085,2.36,2.755,11,2929
2.755,5.905,2.755,12.01,5.71,2.555,3.35,11,2930
3.545,2.56,4.33,9.845,7.285,2.955,1.77,11,2931
1.965,3.545,2.56,9.845,4.53,2.365,2.365,11,2932
2.955,2.36,3.74,12.01,4.92,3.15,3.345,11,2933
2.165,2.95,3.345,7.285,4.92,1.775,1.57,11,2934
2.36,3.15,2.955,11.025,4.135,1.575,2.56,11,2935
2.165,2.365,5.12,9.25,4.33,1.97,1.77,11,2936
2.755,1.97,4.135,6.89,5.515,1.575,2.165,11,2937
2.76,3.15,3.345,8.66,5.515,1.57,1.575,11,2938
3.74,4.92,3.935,11.22,6.69,2.165,2.36,11,2939
2.165,1.77,2.95,6.695,5.12,2.955,1.375,11,2940
1.965,2.165,1.375,9.25,3.54,1.965,1.375,11,2941
1.18,4.33,3.15,14.375,4.725,2.955,1.57,11,2942
1.965,2.76,2.955,10.235,4.53,2.95,1.38,11,2943
1.77,3.74,2.165,8.265,3.15,1.57,0.985,11,2944
0.59,0.785,6.3,4.53,2.755,0.985,1.18,11,2945
2.165,2.555,2.56,8.86,3.54,1.97,1.18,11,2946
2.165,2.95,3.74,7.68,4.725,1.575,2.755,11,2947
1.965,2.36,2.36,7.875,3.35,0.985,1.38,11,2948
1.575,3.15,2.76,11.02,4.92,1.97,0.785,11,2949
1.77,2.365,2.36,10.63,2.56,2.56,0.59,11,2950
1.575,3.345,1.77,8.27,4.135,1.77,0.79,11,2951
1.77,1.965,2.755,6.495,4.135,1.38,2.165,11,2952
1.18,2.95,1.77,7.875,3.94,1.77,1.375,11,2953
2.555,1.77,3.15,7.085,4.33,1.375,1.375,11,2954
1.57,2.165,2.755,6.89,3.345,1.38,1.575,11,2955
1.77,2.36,1.77,5.315,3.15,1.18,1.575,11,2956
1.575,2.56,1.965,8.07,4.335,1.97,1.18,11,2957
0.985,2.165,2.365,6.105,4.525,1.575,1.77,11,2958
2.56,2.165,2.95,7.485,4.135,1.77,1.18,11,2959
1.77,2.165,2.56,8.265,4.925,0.985,1.97,11,2960
2.56,1.775,2.165,7.875,2.955,1.575,1.77,11,2961
1.775,2.365,2.56,5.905,4.72,1.575,1.57,11,2962
0.785,3.15,2.165,11.615,2.95,2.56,1.575,11,2963
1.775,2.36,1.965,8.66,4.33,1.965,0.785,11,2964
0.98,2.56,1.575,7.285,3.15,1.97,1.18,11,2965
1.77,2.955,1.965,10.635,2.755,1.77,1.77,11,2966
2.755,1.97,2.165,7.68,3.345,0.985,0.98,11,2967
1.18,2.165,1.97,4.725,3.145,1.77,0.98,11,2968
1.965,2.755,2.555,8.66,3.15,1.77,1.77,11,2969
2.165,1.57,3.74,5.51,5.315,1.18,1.18,11,2970
2.36,2.365,3.35,6.1,6.695,1.18,2.165,11,2971
2.365,1.375,1.965,6.89,3.54,1.18,0.39,11,2972
1.18,2.955,2.56,4.33,4.13,1.57,1.97,11,2973
2.165,2.165,1.97,10.435,3.935,1.18,1.18,11,2974
1.97,2.56,2.755,7.28,3.345,1.57,2.56,11,2975
1.97,4.13,2.365,10.63,5.905,1.57,1.575,11,2976
2.755,4.13,3.35,12.205,5.71,2.365,2.165,11,2977
1.575,2.36,1.375,7.875,2.755,2.56,1.18,11,2978
1.18,4.33,1.375,11.22,1.97,1.77,1.18,11,2979
1.18,3.935,2.365,19.1,3.35,1.965,1.575,11,2980
1.97,2.955,2.365,6.5,5.515,3.545,2.165,11,2981
2.165,4.725,3.15,19.685,4.92,1.575,1.965,11,2982
1.965,3.345,2.755,11.025,8.86,4.53,3.15,11,2983
2.555,3.35,3.545,9.255,3.935,2.76,1.97,11,2984
2.755,3.545,2.755,12.4,7.285,2.365,2.165,11,2985
2.755,4.33,2.95,17.915,6.5,2.36,2.755,11,2986
2.755,3.545,3.935,11.22,27.56,3.15,3.15,11,2987
1.97,3.15,1.77,7.675,24.215,1.18,3.545,11,2988
3.545,5.71,8.86,22.64,19.095,5.315,4.33,11,2989
4.53,3.935,3.935,17.13,7.085,2.755,2.955,11,2990
3.94,7.68,5.115,30.32,10.24,5.515,3.54,11,2991
5.315,6.3,4.135,20.275,8.075,4.135,3.74,11,2992
3.94,8.66,6.69,30.515,13.385,4.725,6.495,11,2993
5.905,6.695,7.875,24.41,13.39,6.3,4.925,11,2994
4.135,8.465,8.07,29.335,15.55,4.33,7.48,11,2995
5.315,7.285,6.89,29.73,11.615,5.71,7.085,11,2996
5.71,6.105,4.92,26.18,11.81,4.33,6.89,11,2997
5.12,8.66,9.055,37.4,14.175,5.12,6.89,11,2998
7.68,8.27,10.04,35.24,12.8,6.105,6.1,11,2999
6.495,9.45,7.09,44.49,18.31,4.92,10.04,11,3000
9.25,8.07,11.025,41.735,17.52,6.3,6.695,11,3001
6.89,13.19,12.205,64.57,17.715,7.48,9.45,11,3002
9.06,17.125,10.435,100,16.34,9.84,15.555,11,3003
9.645,14.37,11.42,100,16.735,15.555,10.435,11,3004
8.265,16.54,10.43,100,16.93,13.98,19.095,11,3005
8.27,10.83,11.615,100,20.67,9.45,8.665,11,3006
12.205,11.615,8.855,85.435,20.67,11.42,8.27,11,3007
5.515,22.835,10.83,91.735,20.08,9.65,10.435,11,3008
10.24,13.19,13.19,100,23.425,12.6,9.645,11,3009
9.845,29.33,12.005,92.72,22.245,11.81,9.45,11,3010
8.86,31.695,10.235,100,20.08,9.055,11.615,11,3011
9.845,19.295,28.545,100,24.02,12.01,10.04,11,3012
20.87,65.56,21.85,100,29.135,6.3,11.81,11,3013
31.89,93.905,13.585,100,25.2,10.63,16.145,11,3014
11.225,100,14.175,100,56.89,10.63,16.535,11,3015
23.23,100,28.545,99.415,41.93,18.9,27.955,11,3016
4.92,47.84,20.08,50.59,23.23,6.105,9.845,11,3017
21.265,62.6,45.08,100,57.09,10.235,16.14,11,3018
17.915,35.045,44.295,100,64.375,8.86,12.795,11,3019
25.985,52.17,38.585,100,27.365,8.27,19.095,11,3020
38.385,100,31.105,100,32.09,6.3,33.86,11,3021
55.12,100,38.585,100,57.29,7.48,13.19,11,3022
56.105,100,52.955,100,44.49,13.78,21.46,11,3023
58.47,100,60.635,100,39.765,7.875,26.97,11,3024
69.495,100,46.26,100,45.675,11.025,27.365,11,3025
62.405,99.61,51.975,100,45.475,8.465,26.77,11,3026
95.875,98.43,50.005,100,86.42,12.21,18.705,11,3027
78.75,96.465,42.72,100,86.815,9.845,41.145,11,3028
91.15,100,38.785,100,85.045,9.845,13.975,11,3029
86.815,94.885,27.755,100,96.855,15.75,10.63,11,3030
71.66,87.21,28.545,100,90.36,29.53,11.415,11,3031
69.1,90.555,34.845,100,88.59,9.65,11.025,11,3032
60.435,97.84,13.385,100,55.515,15.16,11.81,11,3033
90.56,90.16,40.36,100,41.145,13.785,15.55,11,3034
80.715,84.06,19.29,100,30.905,19.88,32.48,11,3035
57.485,93.51,19.885,100,36.81,14.175,18.705,11,3036
74.215,91.935,31.3,100,49.02,9.84,9.845,11,3037
65.755,28.545,13.19,100,33.075,16.735,12.405,11,3038
67.325,12.6,22.445,68.9,31.105,19.295,36.225,11,3039
84.065,19.095,38.195,40.16,60.635,36.81,15.16,11,3040
73.235,22.445,54.335,35.83,46.855,84.45,16.73,11,3041
68.705,19.885,26.97,59.85,26.38,100,20.67,11,3042
70.87,16.535,25.59,75.005,28.545,78.75,17.325,11,3043
50.99,15.355,39.37,37.405,24.02,74.81,20.28,11,3044
86.425,22.445,15.355,53.745,22.445,67.13,16.54,11,3045
76.185,16.93,20.475,45.48,46.265,95.675,28.35,11,3046
74.81,15.555,28.155,68.705,30.32,57.68,14.96,11,3047
62.605,10.83,24.015,44.29,28.545,24.805,10.83,11,3048
73.235,31.305,18.11,41.54,28.935,13.58,25.2,11,3049
48.82,16.34,29.925,41.935,23.23,15.16,29.925,11,3050
50.595,22.245,30.515,38.19,28.745,14.175,13.78,11,3051
61.815,19.685,26.775,85.64,27.165,9.45,16.735,11,3052
77.175,16.54,29.135,95.475,41.145,12.01,27.17,11,3053
62.01,13.58,24.805,88.985,54.335,10.435,28.545,11,3054
96.265,14.37,22.245,82.29,48.82,11.615,18.505,11,3055
94.49,21.26,19.885,55.715,76.975,58.075,14.37,11,3056
88.98,22.445,25.79,70.675,35.04,59.255,19.49,11,3057
79.535,16.735,12.6,99.02,41.145,36.615,19.095,11,3058
63.39,39.37,61.425,100,52.76,47.835,21.455,11,3059
74.02,19.885,63.98,100,46.265,21.655,24.415,11,3060
66.735,16.935,62.21,100,48.035,71.86,19.685,11,3061
57.485,29.53,35.83,100,28.935,82.09,34.055,11,3062
50.99,26.97,31.105,100,21.855,71.07,18.31,11,3063
60.045,15.355,35.63,100,25.595,39.77,13.39,11,3064
58.075,17.915,24.41,100,39.375,15.95,10.63,11,3065
81.5,40.945,16.34,100,25.2,10.235,24.215,11,3066
86.62,23.23,26.18,100,51.975,8.665,62.21,11,3067
93.705,41.735,41.145,100,82.095,6.1,13.78,11,3068
87.41,42.72,28.545,100,85.245,11.025,34.455,11,3069
94.695,26.58,34.845,100,75.205,22.05,64.175,11,3070
87.21,19.1,31.895,100,76.975,12.01,76.385,11,3071
78.745,19.295,22.835,100,72.05,5.71,55.515,11,3072
44.885,38.195,20.28,100,81.11,12.795,54.335,11,3073
95.08,19.095,25.79,100,75.005,12.6,61.42,11,3074
86.035,18.505,23.43,100,91.15,11.025,44.095,11,3075
