L101,L102,L103,L104,L106,L107,L108,DAY,TIME
0.195,3.54,2.56,12.795,6.69,1.97,1.375,3,100
0.395,4.725,2.36,13.19,7.675,3.545,1.57,3,101
1.18,4.925,2.755,22.05,5.71,2.555,2.755,3,102
0.195,3.345,3.545,12.995,5.315,5.12,2.36,3,103
0.39,5.12,2.365,18.505,4.33,2.365,1.375,3,104
0.195,4.525,2.165,16.735,3.15,3.935,1.77,3,105
0.195,4.335,3.94,15.55,6.5,4.725,5.315,3,106
0.395,5.71,5.115,20.275,10.235,4.53,3.74,3,107
2.755,5.705,4.53,27.76,10.63,5.51,4.925,3,108
0.59,7.28,5.51,22.64,10.04,3.15,4.72,3,109
1.375,7.285,6.89,34.65,12.205,6.495,3.74,3,110
1.575,6.3,4.725,23.23,7.675,6.1,3.545,3,111
2.165,5.315,4.92,24.805,9.055,2.56,10.825,3,112
1.575,8.66,7.285,29.73,19.29,6.69,4.92,3,113
1.38,7.285,6.69,35.04,12.205,6.495,8.265,3,114
1.18,6.69,6.89,20.87,12.6,5.515,4.525,3,115
5.12,11.42,5.515,37.405,16.735,12.995,9.255,3,116
5.115,5.515,8.855,21.065,17.125,8.465,7.675,3,117
7.285,9.645,9.055,28.74,14.96,5.315,12.005,3,118
9.645,10.235,8.075,45.87,15.16,6.89,7.68,3,119
6.695,8.075,13.585,33.86,18.31,10.83,8.465,3,120
13.385,12.795,17.915,39.175,16.93,5.905,14.57,3,121
12.995,10.825,33.465,39.18,32.285,7.48,6.89,3,122
10.435,15.355,17.915,58.27,18.9,9.84,11.615,3,123
8.27,8.855,18.9,48.43,35.24,10.435,9.055,3,124
12.4,9.45,19.29,67.525,22.25,9.84,7.87,3,125
10.04,24.015,11.42,37.795,14.375,10.435,10.83,3,126
7.875,13.19,21.855,75.795,19.095,8.07,12.405,3,127
9.845,19.685,23.035,74.415,18.9,10.83,11.81,3,128
9.055,13.385,14.37,79.14,23.23,11.615,7.68,3,129
11.615,21.065,12.405,88.19,23.43,12.995,11.22,3,130
10.83,29.925,27.365,73.04,26.575,7.09,14.37,3,131
9.645,23.425,26.97,100,26.575,10.83,20.475,3,132
12.01,67.13,36.42,100,27.955,20.675,21.46,3,133
24.805,90.16,31.5,100,31.105,13.19,16.34,3,134
17.525,100,58.08,100,48.425,11.025,19.095,3,135
14.175,96.855,81.7,100,42.92,8.86,17.52,3,136
21.26,100,58.665,100,40.555,6.1,16.93,3,137
20.08,100,37.205,100,33.27,10.235,14.965,3,138
21.46,100,33.86,100,44.885,13.585,10.63,3,139
26.97,88.98,36.615,100,27.76,10.435,17.325,3,140
29.925,82.285,33.27,100,40.555,11.22,22.045,3,141
15.355,100,47.445,100,39.37,6.89,20.475,3,142
32.09,100,39.57,100,45.675,10.63,13.385,3,143
54.925,100,64.77,100,53.15,11.42,41.145,3,144
70.475,100,34.055,100,39.175,10.63,40.55,3,145
58.86,100,41.735,100,42.72,8.66,14.765,3,146
33.075,100,28.94,100,54.335,8.465,30.515,3,147
36.615,100,65.36,100,80.515,32.09,9.645,3,148
26.185,100,46.46,100,58.47,8.465,20.08,3,149
47.25,100,44.885,100,50.79,14.565,9.845,3,150
46.265,87.405,48.43,100,34.65,20.475,20.085,3,151
89.77,100,52.365,100,24.61,21.26,10.04,3,152
94.49,100,22.25,100,22.84,15.75,26.38,3,153
73.035,100,18.51,100,25.59,24.805,13.39,3,154
56.11,100,12.795,97.25,27.365,10.04,15.945,3,155
85.83,97.64,25.785,89.175,30.12,16.735,29.335,3,156
78.155,98.825,34.65,100,34.45,19.095,14.565,3,157
88.395,100,20.67,100,28.745,12.6,21.46,3,158
91.34,90.75,66.735,100,57.09,6.105,22.445,3,159
87.605,100,47.445,100,51.975,12.205,24.41,3,160
68.705,76.58,21.46,100,35.63,10.435,27.365,3,161
79.535,78.945,24.605,100,27.165,16.34,20.67,3,162
100,93.705,16.14,100,37.405,12.21,16.93,3,163
93.705,80.715,21.46,100,39.375,11.22,19.885,3,164
90.955,52.365,23.03,100,23.825,12.01,9.65,3,165
78.155,67.33,21.065,100,25.79,10.435,13.98,3,166
87.605,42.92,13.385,100,14.375,9.845,20.275,3,167
59.45,56.105,12.405,100,50.99,15.55,23.23,3,168
93.31,64.18,43.705,100,74.81,9.645,26.38,3,169
50.005,72.25,45.87,100,69.495,12.01,11.025,3,170
44.49,69.69,60.835,100,35.83,30.71,31.895,3,171
31.895,73.235,51.385,100,25.395,93.705,25.2,3,172
88.785,87.215,51.97,100,30.32,92.725,10.235,3,173
96.265,99.215,62.405,91.34,27.565,70.675,12.205,3,174
88.195,100,55.71,64.575,27.56,34.65,40.555,3,175
85.64,100,56.89,62.605,24.61,8.27,39.175,3,176
98.435,97.445,33.665,98.43,37.995,9.055,21.065,3,177
95.87,98.625,22.245,100,50.005,8.07,33.665,3,178
96.66,100,17.13,100,31.1,12.01,16.145,3,179
93.51,89.77,32.875,100,26.18,8.665,34.255,3,180
69.1,96.065,14.175,100,26.185,7.48,63.59,3,181
75.6,95.68,32.875,100,25.595,8.855,62.21,3,182
76.58,81.505,52.37,100,31.89,8.075,67.92,3,183
87.21,51.97,65.555,100,24.61,15.16,56.895,3,184
98.825,88.785,58.47,100,51.38,37.995,43.9,3,185
97.84,92.33,74.415,100,37.015,52.365,30.12,3,186
75.205,85.835,61.025,100,28.94,42.52,49.805,3,187
65.755,97.64,69.69,100,31.305,9.65,9.65,3,188
66.345,100,33.665,100,35.435,10.43,16.14,3,189
78.35,100,21.26,100,32.09,13.975,30.51,3,190
93.115,100,26.38,100,46.855,24.015,26.185,3,191
83.67,100,27.17,100,39.375,14.765,15.745,3,192
99.415,100,25.985,100,30.71,17.325,10.24,3,193
56.5,99.215,19.095,100,25.395,52.365,24.215,3,194
59.845,100,16.145,100,50.2,58.275,36.225,3,195
72.45,100,25,100,64.375,56.105,59.65,3,196
80.12,100,33.86,100,36.815,49.61,56.5,3,197
86.23,100,34.45,96.655,49.61,12.205,15.555,3,198
79.925,100,38.98,100,31.105,45.085,22.445,3,199
43.9,41.145,18.9,50.395,16.735,25.985,13.19,3,200
84.85,100,31.695,100,26.575,53.745,36.81,3,201
95.28,45.28,15.55,100,49.02,57.88,29.53,3,202
86.425,100,49.81,100,29.53,100,35.045,3,203
60.44,94.495,38.78,100,49.61,78.15,49.61,3,204
80.715,99.61,36.42,100,33.47,31.305,38.98,3,205
67.33,99.805,35.435,100,27.76,18.31,24.61,3,206
89.575,100,38.785,100,40.355,30.51,12.01,3,207
88.785,99.805,32.09,100,56.5,19.29,46.66,3,208
82.29,84.65,19.69,100,63.98,26.38,15.155,3,209
78.945,100,26.97,100,37.995,28.74,23.425,3,210
62.6,99.215,20.865,100,55.32,63.785,19.095,3,211
58.67,100,17.325,100,40.945,62.995,36.225,3,212
59.455,100,15.75,100,43.705,48.625,11.615,3,213
70.87,97.45,16.535,100,30.515,99.215,56.105,3,214
60.045,77.175,28.545,100,61.025,93.115,68.705,3,215
74.615,73.43,57.285,100,47.64,100,64.765,3,216
73.04,43.705,70.675,100,54.925,100,74.215,3,217
48.43,16.14,78.155,99.61,38.585,100,67.33,3,218
31.105,31.495,93.115,99.02,45.475,90.165,74.215,3,219
60.435,19.095,92.13,100,41.535,100,64.77,3,220
33.27,17.13,100,100,53.35,75.4,93.31,3,221
13.58,20.675,90.555,100,58.075,85.245,100,3,222
27.17,21.265,61.62,94.69,81.9,99.02,100,3,223
13.78,29.92,69.89,100,86.62,100,97.64,3,224
14.175,20.08,87.21,99.805,93.51,91.54,99.215,3,225
15.16,34.25,96.07,100,100,99.215,100,3,226
22.64,69.69,100,100,85.05,97.84,46.07,3,227
18.11,64.965,88.395,100,82.88,96.655,50.395,3,228
22.245,18.705,93.115,100,83.865,65.95,29.73,3,229
18.31,27.755,80.715,100,90.95,100,30.12,3,230
31.695,86.03,61.62,100,95.48,70.67,25.985,3,231
55.32,100,99.61,100,76.975,97.84,13.585,3,232
65.36,100,95.085,100,89.97,100,32.09,3,233
59.85,100,83.275,100,60.24,100,25.195,3,234
80.715,98.43,55.715,100,28.94,76.78,16.14,3,235
92.725,100,91.35,100,36.615,95.09,9.645,3,236
67.325,100,71.065,100,28.545,80.52,9.845,3,237
73.035,100,71.265,100,45.28,77.17,18.31,3,238
80.715,92.72,74.025,100,30.12,60.835,19.885,3,239
60.045,100,78.35,100,45.675,86.425,6.695,3,240
68.905,97.25,82.88,100,44.69,99.61,23.23,3,241
69.3,100,79.535,100,35.24,86.82,31.5,3,242
50.005,100,80.125,100,32.09,81.7,14.565,3,243
79.535,100,64.575,100,24.015,100,42.13,3,244
76.775,99.61,59.06,100,33.07,100,25.005,3,245
59.06,100,69.495,100,22.05,92.525,35.44,3,246
62.01,98.625,66.145,100,27.165,100,32.48,3,247
81.5,48.825,49.02,100,31.695,100,47.645,3,248
84.65,19.885,65.36,100,29.14,100,86.03,3,249
65.755,86.815,46.265,100,25.395,97.64,92.525,3,250
57.875,98.625,55.515,100,40.755,91.54,62.21,3,251
54.53,100,56.7,100,32.09,77.37,67.13,3,252
78.16,83.08,65.36,100,25.79,60.045,49.81,3,253
68.115,100,46.855,100,25.59,68.31,64.375,3,254
76.385,100,56.11,100,30.315,87.605,64.375,3,255
60.435,53.745,22.835,100,29.33,78.75,49.805,3,256
90.555,15.16,27.56,100,30.91,88.985,41.735,3,257
87.8,15.55,32.285,100,23.23,98.625,26.97,3,258
95.875,20.87,23.035,100,26.97,100,8.665,3,259
89.57,16.145,40.95,100,26.775,100,14.17,3,260
96.855,13.19,56.11,100,28.94,95.875,10.43,3,261
97.445,18.305,15.945,100,23.03,100,17.325,3,262
90.75,12.205,13.585,78.35,20.87,100,35.24,3,263
60.24,18.505,37.795,60.24,23.625,96.465,46.265,3,264
